timestamp,average_clustering
20190120,0.0021155252952619196
20190121,0.0024996297463167737
20190123,0.0025596050546777753
20190128,0.002617716253382053
20190129,0.0026276783106687104
20190130,0.002727835183463322
20190220,5.0524347113505195e-06
20190225,0.001149702055027955
20190226,0.001162319847134967
20190227,0.0012094243574319978
20190228,0.0012242323322300386
20190303,0.0012819099616787769
20190304,1.2386722823167346e-05
20190306,2.0223472052279934e-06
20190311,3.0186300707427274e-06
20190312,3.0229437682364974e-06
20190313,3.0120227761595994e-06
20190314,2.996074913592726e-06
20190317,3.075754150420007e-06
20190318,3.089236472307066e-06
20190428,1.28275442092884e-06
20190429,1.2770846253521656e-06
20190501,1.281611795823204e-06
20190506,1.2451674570470787e-06
20190507,1.2399933055276648e-06
20190508,1.2375920024725387e-06
20190509,1.2267673796692022e-06
20190617,1.2951540258244793e-06
20190618,1.2787410265088016e-06
20190619,1.2753170701335597e-06
20190620,1.2736255592167996e-06
20190623,1.2150429897756043e-06
20190624,1.2017895190867447e-06
20190626,1.2181007906452984e-06
20190715,1.4798041472080922e-06
20190716,1.4612337440531908e-06
20190717,1.4566980643463422e-06
20190718,1.4519054351923173e-06
20190721,1.4680898311485124e-06
20190722,1.4679415233737663e-06
20190724,1.4982681406602073e-06
20190729,1.4827076156745012e-06
20190730,1.4823676334779606e-06
20190731,1.4904160059038884e-06
20190801,1.5063714194917537e-06
20190804,1.4703362094473792e-06
20190805,1.4571123786397058e-06
20190807,1.431959742975054e-06
20190812,1.4939671786701875e-06
20190813,1.495262200606525e-06
20190814,1.4934445751318885e-06
20190815,1.522933452467912e-06
20190818,1.5151230353570218e-06
20190819,1.3490037327979464e-06
20190821,1.3600930660212802e-06
20190826,1.5050371556531498e-06
20190827,1.5551683117563448e-06
20190828,1.604217388957248e-06
20190829,1.5938730764955772e-06
20190901,1.6056314891612538e-06
20190902,1.5872385126035635e-06
20190904,1.6231280154044795e-06
20190909,1.711783298942407e-06
20190910,1.721452805980463e-06
20190911,1.7186524761795982e-06
20190912,1.7296474235520352e-06
20190915,1.6264954397921868e-06
20190916,1.6186352119837663e-06
20190918,1.5904590301325838e-06
20190923,1.8124703923170618e-06
20190924,1.8283819399574767e-06
20190925,1.8371015119915688e-06
20190926,1.8305327174855685e-06
20190929,1.8110257307518934e-06
20190930,1.8093616831001778e-06
20191002,1.796489416951937e-06
20191007,1.7790498182997481e-06
20191008,1.776811041207006e-06
20191009,1.7771758547846926e-06
20191010,1.778983605345627e-06
20191013,1.8293069341733378e-06
20191014,2.4554629524341373e-06
20191016,1.401582925823165e-06
20191021,1.7697597184451334e-06
20191022,1.7400760977377743e-06
20191023,1.7360472970726002e-06
20191024,1.7291447381370355e-06
20191027,1.7464329986633418e-06
20191028,1.7375404456580402e-06
20191030,1.7366072845960113e-06
20191104,1.239311337246938e-06
20191105,1.2364409646099964e-06
20191106,1.2378018057622599e-06
20191107,1.2299729082530296e-06
20191110,1.2127319038850682e-06
20191111,1.2091245502377589e-06
20191113,1.3019822716446846e-06
20191118,9.701814312309913e-07
20200127,8.822883135406024e-07
20200128,8.872727551675675e-07
20200129,8.811743088972153e-07
20200130,8.856421600794292e-07
20200202,1.1594882776720628e-06
20200203,1.0485540208784234e-06
20200205,1.0295789835862677e-06
20200210,3.2224772112547287e-06
20200211,3.253566844026217e-06
20200212,3.2657912977105766e-06
20200213,3.2650837344222476e-06
20200216,3.2522360640930016e-06
20200217,3.3713645280164846e-06
20200219,1.7017528345106272e-06
20200224,1.7471732177712285e-06
20200225,1.7524499178388062e-06
20200226,1.7557377021960517e-06
20200227,1.7552878290215353e-06
20200301,1.7588838792347256e-06
20200302,1.750075193816466e-06
20200304,1.788099420496912e-06
20200309,1.9069102954342368e-06
20200310,1.8939750765938628e-06
20200311,1.8888314410031919e-06
20200312,1.7660430280785235e-06
20200315,1.7411938173459768e-06
20200316,1.7399080164059021e-06
20200318,4.323381238452601e-08
20200323,1.6381050854785609e-06
20200324,1.6373562113825263e-06
20200325,1.6376468077633629e-06
20200326,1.7269358974790806e-06
20200329,1.7115854569001146e-06
20200330,1.7179795269313487e-06
20200401,1.7163134380742933e-06
20200406,1.4825344162623836e-06
20200407,1.4828392888299125e-06
20200408,1.472807362331718e-06
20200409,1.4750465171685978e-06
20200412,1.505114378116509e-06
20200413,1.5026674285557297e-06
20200415,1.5065789230457908e-06
20200420,1.664268699166695e-07
20200421,1.64111439803182e-07
20200422,1.5816487761379045e-07
20200423,1.6022729030249507e-07
20200426,1.5266970444242308e-07
20200427,1.515968131653436e-07
20200429,1.535508930039765e-07
20200504,1.3839062450235494e-07
20200505,1.38309427546112e-07
20200506,1.395973567254692e-07
20200507,1.374496867358489e-07
20200510,3.44306767904357e-08
20200511,3.448614359661791e-08
20200513,1.180667221395821e-06
20200518,1.277019899489581e-06
20200519,1.2762976636707015e-06
20200520,1.2778008452740032e-06
20200521,1.2902047085442982e-06
20200524,1.5946678596736577e-06
20200525,3.197906817019523e-06
20200527,3.5288448937626067e-06
20200601,3.5167300360710714e-06
20200602,3.5072870673499886e-06
20200603,3.4942490597559986e-06
20200604,4.4958619014600255e-06
20200610,5.344690650791687e-07
20200615,5.606643773416451e-07
20200616,1.8984035982391327e-06
20200617,1.900367182255838e-06
20200618,1.9017557869839233e-06
20200621,1.9468103204138623e-06
20200622,2.3668077700627708e-08
20200624,2.3965935831907315e-08
20200629,2.162998452747601e-06
20200630,2.180916456138585e-06
20200701,2.17589000858279e-06
20200702,2.1926221608214076e-06
20200705,2.2276489142849362e-06
20200706,2.2200526381125686e-06
20200708,2.224219164871708e-06
20200713,2.2380981243192003e-06
20200714,2.23916491944963e-06
20200715,2.231792216815658e-06
20200716,2.220889542891692e-06
20200719,2.21772959955214e-06
20200720,2.2285411458199283e-06
20200722,2.231036228163991e-06
20200727,2.2433028922649495e-06
20200728,2.274429069485767e-06
20200729,2.276056785131782e-06
20200730,2.344988955697242e-06
20200802,2.317441659518345e-06
20200803,2.3404820335616297e-06
20200805,1.1623067394036985e-05
20200810,1.19622886690339e-05
20200811,1.2047854557195577e-05
20200812,1.2116736840734987e-05
20200813,2.4345528961475508e-06
20200816,2.43371260534664e-06
20200817,2.4037090748093587e-06
20200819,2.4319828697418244e-06
20200824,2.484627988202089e-06
20200825,2.6402578842711175e-06
20200826,2.631842224794385e-06
20200827,2.635795784824765e-06
20200830,2.973320307697048e-06
20200831,2.9358031436321165e-06
20200902,2.8995335780210322e-06
20200907,2.894486726624196e-06
20200908,2.8855204814165643e-06
20200909,2.9007038494518225e-06
20200910,3.0064876024980753e-06
20200913,2.985861006083791e-06
20200914,2.9279170612511536e-06
20200916,2.8648459885808296e-06
20200921,2.767053902979495e-06
20200922,2.73025990014928e-06
20200923,2.719601771046016e-06
20200924,2.7593865293062265e-06
20200927,2.787661467774605e-06
20200928,2.8046880141090656e-06
20200930,2.7863202184271458e-06
20201005,2.8827863667192966e-06
20201006,1.985152033847711e-06
20201007,2.0349926921854877e-06
20201008,2.030599647311935e-06
20201011,2.7018835678622818e-06
20201012,2.6687945821854644e-06
20201014,2.598486296132442e-06
20201019,2.2269499806250013e-06
20201020,2.2392053114560853e-06
20201021,1.978762277126976e-05
20201022,1.3047612452131435e-05
20201025,1.3153285911839444e-05
20201026,1.3225943118744816e-05
20201102,2.685062913768496e-05
20201103,1.2232627227733835e-05
20201104,1.5365416100288952e-05
20201105,1.5385408926216943e-05
20201108,8.926464775227255e-06
20201109,8.864456227770545e-06
20201117,9.59417276326362e-06
20201118,9.557414258442613e-06
20201119,4.89722445733574e-07
20201122,9.300907519084198e-07
20201123,9.360114550611669e-07
20201201,1.12368106342481e-05
20201202,1.135618248479087e-05
20201203,1.1275300194533983e-05
20201206,1.0524341474619176e-05
20201207,1.0583851432875725e-05
20201215,1.0215214801192154e-05
20201216,1.020946827963559e-05
20201220,9.901355343795117e-06
20201221,1.0179699382734025e-05
20201229,1.0774280357102834e-05
20201230,1.066130292286456e-05
20210103,3.979485118641749e-06
20210104,1.1115643519121308e-05
20210112,1.4072808258684138e-06
20210113,1.3897135153971045e-06
20210117,1.3822783917611886e-06
20210126,1.2339289504580092e-05
20210127,1.2302107162812446e-05
20210131,5.190947283609944e-07
20210209,2.2380944179807931e-07
20210210,4.893247937164655e-07
20210214,1.9962656879894653e-07
20210223,2.8627857498116306e-07
20210224,2.3210337190166066e-07
20210228,3.030376277404222e-08
20210309,3.072905011823619e-08
20210310,3.0007331139361406e-08
20210314,2.8653547163163345e-08
20210323,0.00010938618579836852
20210324,1.2093818877458621e-06
20210328,2.7248503834076872e-08
20210406,4.847456268822124e-07
20210407,2.7088462551287866e-08
20210411,3.356142369429392e-08
20210420,3.382384202781828e-07
20210421,2.6305752377955554e-07
20210425,9.635608475632437e-08
20210504,8.369381613845828e-07
20210505,8.227947659809687e-07
20210509,2.813463864258616e-07
20210518,8.138774814826017e-07
20210519,8.287490738021272e-07
20210523,3.007011257916181e-07
20210601,6.889826398734052e-07
20210602,1.5564754859426772e-07
20210606,6.873274565578514e-08
20210615,1.4913330929540872e-07
20210616,1.5125854071287817e-07
20210620,8.520607796412034e-08
20210629,1.449874474227464e-07
20210630,1.5278633960466107e-07
20210704,7.902068648051629e-08
20210713,5.751807157483468e-07
20210714,5.68601609629846e-07
20210718,3.076515866179029e-07
20210727,2.601444844287961e-07
20210728,1.7303365638660755e-07
20210801,9.672937653055582e-08
20210810,4.728385745356675e-08
20210811,1.43593025388067e-07
20210815,4.0687345659060646e-07
20210824,1.4762648207646664e-07
20210825,1.6438469820373097e-07
20210829,1.514442788018559e-07
20210907,1.7965738487818321e-07
20210908,1.8351717252190224e-07
20210912,1.7381800074923003e-07
20210921,1.8546201238092182e-07
20210926,1.5849617421631968e-07
20211010,8.386558284286512e-07
20220222,2.874524231254593e-08
20220227,3.189908525150516e-08
20220308,3.131922466789832e-08
20220313,4.382374676753234e-08
20220322,6.950704698287741e-08
20220327,4.130111645614017e-08
20220405,2.758827950730768e-08
20220410,1.5274397014141578e-07
20220419,1.300501319670042e-07
20220424,2.9556536685067058e-08
20220503,4.046851414883179e-08
20220508,4.298084886290155e-08
20220517,3.844769728616541e-08
20220522,3.871225477055656e-08
20220531,3.2887712208972243e-08
20220605,3.455812212389125e-08
20230604,2.6303540666051086e-07
20230618,2.6450351184380236e-07
20230702,3.363658358617911e-07
20230716,2.3552667368511105e-07
