timestamp,average_clustering
20190120,0.0028470499397950494
20190121,0.003112491393436936
20190123,0.0031930351316193095
20190128,0.0032727478450416494
20190129,0.0032790337519338457
20190130,0.003391339157823155
20190220,5.349078151638174e-06
20190225,0.0012125807552859226
20190226,0.0012229449698701472
20190227,0.001281884731837671
20190228,0.001308362867908886
20190303,0.0013823032790776664
20190304,0.0010950963051193736
20190306,0.0015052699241275447
20190311,5.287975066664568e-06
20190312,5.308988156706466e-06
20190313,5.275947468161427e-06
20190314,5.256055313349002e-06
20190317,5.43810933292059e-06
20190318,5.417555286070944e-06
20190428,1.4231459849956126e-06
20190429,1.4089876762409669e-06
20190501,1.4167913464527744e-06
20190506,1.4025570105398362e-06
20190507,1.3947605622223363e-06
20190508,1.3947928188657676e-06
20190509,1.379166057625709e-06
20190617,1.7379961525323252e-06
20190618,1.6668958186299002e-06
20190619,1.666487348517812e-06
20190620,1.6658101458866106e-06
20190623,1.4713732622583715e-06
20190624,1.4521345250030523e-06
20190626,1.4501212987005632e-06
20190715,1.6766558194945329e-06
20190716,1.6518129403685107e-06
20190717,1.653167785998104e-06
20190718,1.6520954011553503e-06
20190721,1.6556659736832267e-06
20190722,1.6667158263591825e-06
20190724,1.6891285620464199e-06
20190729,1.6711750495231216e-06
20190730,1.6722825992918661e-06
20190731,1.678037740427261e-06
20190801,1.7015586932042155e-06
20190804,1.6617198745117402e-06
20190805,1.6529130802178485e-06
20190807,1.6138307461831862e-06
20190812,1.668229720001895e-06
20190813,1.6688702124737235e-06
20190814,1.660048425878301e-06
20190815,1.6963386741112468e-06
20190818,1.6774875622138676e-06
20190819,1.487092360531123e-06
20190821,1.4844604126049803e-06
20190826,1.5547538706973202e-06
20190827,1.5818545326866115e-06
20190828,1.702994722989606e-06
20190829,1.7046887732384175e-06
20190901,1.7043218081958747e-06
20190902,1.7062878183514074e-06
20190904,1.718800191545633e-06
20190909,1.781905185982542e-06
20190910,1.8000844968991496e-06
20190911,1.791728563393391e-06
20190912,1.80658319588566e-06
20190915,1.7367908020522216e-06
20190916,1.7315221092947646e-06
20190918,1.7129426006943225e-06
20190923,2.5071051453002753e-06
20190924,2.5301065612241085e-06
20190925,2.5379165438764863e-06
20190926,2.5612881137621076e-06
20190929,2.5503312370313988e-06
20190930,2.5448539619812904e-06
20191002,2.5252101148975348e-06
20191007,2.5010225300781274e-06
20191008,2.481062632090648e-06
20191009,2.4841691301142663e-06
20191010,2.488514568595895e-06
20191013,2.5425955800481835e-06
20191014,2.90790167107543e-06
20191016,1.4060153409607108e-06
20191021,2.8450340769712116e-06
20191022,2.8292089422351753e-06
20191023,2.796298020792782e-06
20191024,2.7909572454438036e-06
20191027,2.837772561929492e-06
20191028,2.820924206636514e-06
20191030,2.836192803633345e-06
20191104,2.807564371870881e-06
20191105,2.823187455805918e-06
20191106,2.8225223897308805e-06
20191107,2.81481947836165e-06
20191110,2.7953086925960096e-06
20191111,2.788709921403279e-06
20191113,2.799211250998621e-06
20191118,2.5154797679586696e-06
20200127,1.6806604731728215e-06
20200128,1.6925569618846198e-06
20200129,1.6872165640891736e-06
20200130,1.6945350170882408e-06
20200202,1.4626094342590243e-06
20200203,7.964672952299693e-07
20200205,8.160377792349764e-07
20200210,2.653431437970407e-06
20200211,2.6707634229386146e-06
20200212,2.6973887196368054e-06
20200213,2.706957434157385e-06
20200216,2.7265846616850023e-06
20200217,2.773146956590853e-06
20200219,1.45789424824827e-06
20200224,1.4435339573136746e-06
20200225,1.4549892599470095e-06
20200226,1.4530031972876307e-06
20200227,1.4609050793476953e-06
20200301,1.527200634621916e-06
20200302,1.5207288496987497e-06
20200304,1.5436526219831455e-06
20200309,1.631392939828395e-06
20200310,1.5826716609807236e-06
20200311,1.5783289863752344e-06
20200312,1.408835889488867e-06
20200315,1.4199562951841627e-06
20200316,1.4111011278524394e-06
20200318,3.531353198200425e-08
20200323,1.228068363190232e-06
20200324,1.2451501715325594e-06
20200325,1.2436278094277773e-06
20200326,2.5660404424225056e-06
20200329,2.5487036504161987e-06
20200330,2.543811294841311e-06
20200401,2.52403604035335e-06
20200406,2.509573186272895e-06
20200407,2.499927505852577e-06
20200408,2.492542853338312e-06
20200409,2.495298979555129e-06
20200412,2.5337853511911805e-06
20200413,2.5252379425176135e-06
20200415,2.519086114775421e-06
20200420,7.296878443000616e-08
20200421,7.20450212881502e-08
20200422,7.248126704240636e-08
20200423,7.238066425824542e-08
20200426,6.978341146216895e-08
20200427,6.932056376225233e-08
20200429,7.053078296950104e-08
20200504,6.881880804675575e-08
20200505,6.890770810186863e-08
20200506,6.89706219866441e-08
20200507,6.870692256109493e-08
20200510,5.805885914255363e-08
20200511,2.3173662777696967e-06
20200513,1.0775938074454738e-06
20200518,1.172950322117323e-06
20200519,1.1748183749999778e-06
20200520,1.1774089976083512e-06
20200521,1.1867904223449321e-06
20200524,2.4515386126736525e-06
20200525,4.892224178674499e-06
20200527,7.0762087224941796e-06
20200601,7.09506477319649e-06
20200602,7.083985630864106e-06
20200603,7.06210922789115e-06
20200604,1.0887846926941858e-05
20200610,6.254320225584724e-07
20200615,6.420160998330594e-07
20200616,2.2530631230770663e-06
20200617,2.2495925603662127e-06
20200618,2.250538923690447e-06
20200621,2.2718975733763403e-06
20200622,2.8450813367304278e-08
20200624,2.850640541977503e-08
20200629,2.419261113861326e-06
20200630,2.4395926737063072e-06
20200701,2.4311818160251694e-06
20200702,2.438055775128243e-06
20200705,2.4839415718337364e-06
20200706,2.4871529665089e-06
20200708,2.4637072278947347e-06
20200713,2.523861051897393e-06
20200714,2.5104439082130874e-06
20200715,2.5028229967897638e-06
20200716,2.456633494110301e-06
20200719,2.4539404390090664e-06
20200720,2.442119843712393e-06
20200722,2.430101917064192e-06
20200727,2.462093868754251e-06
20200728,2.567765054634572e-06
20200729,2.576987429852595e-06
20200730,2.6604428773620684e-06
20200802,2.557380424740819e-06
20200803,2.63856486018231e-06
20200805,1.282321421355134e-05
20200810,1.331115358934582e-05
20200811,1.3435470869920958e-05
20200812,1.3501635154369837e-05
20200813,2.715614604600654e-06
20200816,2.680246520306318e-06
20200817,2.656070671380654e-06
20200819,2.6976843955839422e-06
20200824,2.791616888935861e-06
20200825,2.9122483526189807e-06
20200826,2.9084794360920887e-06
20200827,2.9324884214897076e-06
20200830,3.2311314597434655e-06
20200831,3.2066977047183228e-06
20200902,3.1747730272129214e-06
20200907,3.1627761148404926e-06
20200908,3.1071779975598504e-06
20200909,3.125264795251105e-06
20200910,3.2369176458360243e-06
20200913,3.1876409791790427e-06
20200914,3.1167739086039597e-06
20200916,3.0882958943592524e-06
20200921,2.949100010060351e-06
