timestamp,average_clustering
20190120,0.0021628821487124886
20190121,0.0025499232907622814
20190123,0.0026105861951041956
20190128,0.002667761076561342
20190129,0.00267485768024799
20190130,0.0027732413296394486
20190220,4.311421570656273e-06
20190225,0.001187607345850938
20190226,0.0011997782994105503
20190227,0.0012473686212427055
20190228,0.0012608594178187685
20190303,0.0013219560401294453
20190304,1.275022284910006e-05
20190306,2.086214183538299e-06
20190311,3.119563527258185e-06
20190312,3.1242719734261014e-06
20190313,3.113926457836877e-06
20190314,3.098537909272263e-06
20190317,3.183261787710245e-06
20190318,3.1955830945020553e-06
20190428,1.3047371783552367e-06
20190429,1.299627726829479e-06
20190501,1.3039136244129468e-06
20190506,1.267295634851046e-06
20190507,1.2619332792429285e-06
20190508,1.2589259245370504e-06
20190509,1.2477710792892814e-06
20190617,1.321049762365408e-06
20190618,1.3050763095848825e-06
20190619,1.301864291174677e-06
20190620,1.3003071480347884e-06
20190623,1.2383891059311154e-06
20190624,1.2254792991561314e-06
20190626,1.2413910643535474e-06
20190715,1.5210436473085347e-06
20190716,1.5020670829140045e-06
20190717,1.4977515143512431e-06
20190718,1.4928369207589847e-06
20190721,1.5074498602745515e-06
20190722,1.510119832837457e-06
20190724,1.540354000864386e-06
20190729,1.5245691071550304e-06
20190730,1.5233761249782406e-06
20190731,1.5310812697897928e-06
20190801,1.5473327433742618e-06
20190804,1.5065860195357734e-06
20190805,1.4955949084480235e-06
20190807,1.467727010998533e-06
20190812,1.5240523282916197e-06
20190813,1.5252810605381433e-06
20190814,1.5233497966714137e-06
20190815,1.5512005712421878e-06
20190818,1.5405334214366998e-06
20190819,1.3783089589723958e-06
20190821,1.3892207769290013e-06
20190826,1.535134490170519e-06
20190827,1.5853720826121997e-06
20190828,1.6276070907827827e-06
20190829,1.616323310212029e-06
20190901,1.6269558073113923e-06
20190902,1.6026543168824745e-06
20190904,1.639017516111892e-06
20190909,1.7273165444704297e-06
20190910,1.737164532387784e-06
20190911,1.7341746371292274e-06
20190912,1.7466934201087332e-06
20190915,1.6429914834460627e-06
20190916,1.636827008522838e-06
20190918,1.609046082257501e-06
20190923,1.8338018317022628e-06
20190924,1.8493593112531635e-06
20190925,1.8585907572225936e-06
20190926,1.8518192903984264e-06
20190929,1.8321882777659204e-06
20190930,1.8309180294457655e-06
20191002,1.8178280633475779e-06
20191007,1.8004314912690223e-06
20191008,1.7982869399526698e-06
20191009,1.7986505434737524e-06
20191010,1.800534791444579e-06
20191013,1.851849006324044e-06
20191014,2.494673834508808e-06
20191016,1.4347774853173512e-06
20191021,1.8158217480058769e-06
20191022,1.7857274605867706e-06
20191023,1.7816716581980494e-06
20191024,1.7746403595685623e-06
20191027,1.7898786485251586e-06
20191028,1.782397997925571e-06
20191030,1.7825718125093522e-06
20191104,1.2694310669870944e-06
20191105,1.2666288331849231e-06
20191106,1.2685097640045484e-06
20191107,1.2605763596195489e-06
20191110,1.2431841857767709e-06
20191111,1.239485752137755e-06
20191113,1.3334395737362708e-06
20191118,9.9388406815814e-07
20200127,9.110040455830223e-07
20200128,9.159132021497718e-07
20200129,9.09813281553015e-07
20200130,9.151404946783625e-07
20200202,1.2134400023997487e-06
20200203,1.072353216283834e-06
20200205,1.048437919685967e-06
20200210,3.3425887873647524e-06
20200211,3.3745947043328743e-06
20200212,3.3869516301444534e-06
20200213,3.386492044432027e-06
20200216,3.3735945212123254e-06
20200217,3.4993317741419292e-06
20200219,1.7699857306751531e-06
20200224,1.8200146213442843e-06
20200225,1.8246806511578949e-06
20200226,1.8282549499405556e-06
20200227,1.828331993470424e-06
20200301,1.8308864278525426e-06
20200302,1.8221588537965604e-06
20200304,1.8638647295144462e-06
20200309,1.983054078530885e-06
20200310,1.9693351292981274e-06
20200311,1.964537384525474e-06
20200312,1.8407018918648458e-06
20200315,1.8077114854320373e-06
20200316,1.807643713840056e-06
