timestamp,average_clustering
20190120,0.0024595091113193837
20190121,0.0027383695874923838
20190123,0.00280885112771537
20190128,0.0028764260059916144
20190129,0.002878161446462689
20190130,0.0029715140222642813
20190220,4.538972879200149e-06
20190225,0.001246779175576886
20190226,0.001256818286097115
20190227,0.001316270851446347
20190228,0.0013420121749422181
20190303,0.001418103090223849
20190304,0.0011289507027286358
20190306,0.0015441801907444396
20190311,5.47167107462423e-06
20190312,5.492861532493552e-06
20190313,5.460856930707129e-06
20190314,5.441416694163709e-06
20190317,5.628516805925618e-06
20190318,5.6068684166722005e-06
20190428,1.4493792496156128e-06
20190429,1.4363680747067562e-06
20190501,1.443819726033991e-06
20190506,1.4299659858294522e-06
20190507,1.422369542575576e-06
20190508,1.422302690792427e-06
20190509,1.4063107357114173e-06
20190617,1.7686353630917982e-06
20190618,1.6997054712591822e-06
20190619,1.6993461142037368e-06
20190620,1.6987826732386645e-06
20190623,1.4971744996526073e-06
20190624,1.4783272019449214e-06
20190626,1.4751222120951692e-06
20190715,1.718649846704876e-06
20190716,1.6939508853003433e-06
20190717,1.6954724480447542e-06
20190718,1.694514970685835e-06
20190721,1.6970829720216869e-06
20190722,1.7102457072656302e-06
20190724,1.7337240407633086e-06
20190729,1.717546319082738e-06
20190730,1.7179393923586552e-06
20190731,1.7238985199953835e-06
20190801,1.7476777421423172e-06
20190804,1.7029988087580606e-06
20190805,1.6970938317569294e-06
20190807,1.651345557003849e-06
20190812,1.699304135633905e-06
20190813,1.7001319635151164e-06
20190814,1.6909819486899847e-06
20190815,1.7251248584775372e-06
20190818,1.7028503198846405e-06
20190819,1.5176796485030192e-06
20190821,1.5143277658718265e-06
20190826,1.5880813857375355e-06
20190827,1.6176977243241724e-06
20190828,1.727133361224582e-06
20190829,1.7278926282817254e-06
20190901,1.7265854733715606e-06
20190902,1.7224573743356527e-06
20190904,1.7347624573156093e-06
20190909,1.7969041084096285e-06
20190910,1.814967446498762e-06
20190911,1.806601581008864e-06
20190912,1.8232525525914437e-06
20190915,1.7533434977346348e-06
20190916,1.7501620244935177e-06
20190918,1.7318368714260054e-06
20190923,2.528818290689891e-06
20190924,2.5514352514149122e-06
20190925,2.559616648554617e-06
20190926,2.5829782564743753e-06
20190929,2.5698180784977666e-06
20190930,2.5666249316640006e-06
20191002,2.54708172756481e-06
20191007,2.5236441391389867e-06
20191008,2.5035757850635455e-06
20191009,2.506683363195203e-06
20191010,2.511101624317194e-06
20191013,2.5649881922134205e-06
20191014,2.9376529932616657e-06
20191016,1.4321951878624873e-06
20191021,2.919635025870807e-06
20191022,2.9036448302551083e-06
20191023,2.870375111238586e-06
20191024,2.8650723984789386e-06
20191027,2.9076400978233567e-06
20191028,2.8947862928948133e-06
20191030,2.9165862583131774e-06
20191104,2.8864473671186164e-06
20191105,2.9023057432214486e-06
20191106,2.902140664732199e-06
20191107,2.8942973783792713e-06
20191110,2.877396300068589e-06
20191111,2.8681272186141747e-06
20191113,2.8787649969844314e-06
20191118,2.5818495160903696e-06
20200127,1.7314404063092558e-06
20200128,1.743410448338461e-06
20200129,1.7379680238906963e-06
20200130,1.7461153051725519e-06
20200202,1.5078265724282838e-06
20200203,8.095066639122582e-07
20200205,8.239444522993859e-07
20200210,2.733813452611781e-06
20200211,2.7510096904746754e-06
20200212,2.7778291077554083e-06
20200213,2.7877496747482308e-06
20200216,2.809854829861024e-06
20200217,2.857616015897747e-06
20200219,1.5074056009819839e-06
20200224,1.4942373104967292e-06
20200225,1.5059787616496791e-06
20200226,1.5043213752681188e-06
20200227,1.5122689271682114e-06
20200301,1.578273846369293e-06
20200302,1.5728323566341433e-06
20200304,1.5984869931047767e-06
20200309,1.68615619994185e-06
20200310,1.6371830827811634e-06
20200311,1.6333203643014208e-06
20200312,1.4615716342134448e-06
20200315,1.471364137105244e-06
20200316,1.4640772641282454e-06
20200318,3.539587655370326e-08
20200323,1.2768015928112797e-06
20200324,1.293414928244552e-06
20200325,1.2919695904378918e-06
20200326,2.6246259149254297e-06
20200329,2.6036531003969902e-06
20200330,2.601087757074058e-06
20200401,2.5803055436641704e-06
20200406,2.565564718196502e-06
20200407,2.5551743713912737e-06
20200408,2.5473696909838427e-06
20200409,2.5496899771665227e-06
20200412,2.58925909198671e-06
20200413,2.5810506169096682e-06
20200415,2.575020170287057e-06
20200420,7.491776984985417e-08
20200421,7.403579366500409e-08
20200422,7.445690966463998e-08
20200423,7.435482596384056e-08
20200426,7.159488943768812e-08
20200427,7.116118957037879e-08
20200429,7.250452225116975e-08
20200504,7.068584474240096e-08
20200505,7.07899894686003e-08
20200506,7.090675805976843e-08
20200507,7.073301449824013e-08
20200510,5.8629606582112835e-08
20200511,2.3722030710630736e-06
20200513,1.127221302465992e-06
20200518,1.2229048385397747e-06
20200519,1.2246119110914914e-06
20200520,1.2272284805805143e-06
20200521,1.2369511097356324e-06
20200524,2.5022361042539083e-06
20200525,4.99801726673731e-06
20200527,7.199941579811939e-06
20200601,7.206906129274319e-06
20200602,7.19560009812373e-06
20200603,7.1730177028381576e-06
20200604,1.1024605125495761e-05
20200610,5.408047470499327e-07
20200615,5.54212171678959e-07
20200616,2.318134740993501e-06
20200617,2.3147742970550153e-06
