timestamp,nodes,edges,components,density,bridges,diameter,transitivity,average_clustering,degree_assortativity,label_communities,lpa_communities,label_non_randomness,lpa_non_randomness,label_relative_non_randomness,lpa_relative_non_randomness
20190120,1137,3240,1,0.005016908840908246,505,6,0.024472537797898694,0.12870694533218133,-0.17540083687334013,11,19,-5.212119748276381,-4.315611702630369,-72.74007025575855,-71.13188183401762
20190121,1222,3760,1,0.00504000504000504,522,6,0.028035579106737322,0.15505252060310917,-0.17280224700556532,11,14,-6.388070142921947,-14.85181515784032,-78.36300406622252,-83.6850452116543
20190123,1204,3686,1,0.00508971204325841,512,7,0.027493831512160734,0.15822171447126324,-0.17399248432788708,9,14,-7.075949599548871,-14.589810335689434,-79.49872893300888,-82.78535040274578
20190128,1148,3353,1,0.005092819018861505,509,7,0.025175693945410034,0.16150994568945173,-0.17946194568289014,9,21,-6.807718999085218,42.395527491283104,-76.26282987896852,-49.07481462238966
20190129,1139,3205,1,0.004945293176421213,517,7,0.02472630395870624,0.1612940713879198,-0.1825322885485687,12,16,21.75373172017532,-12.881487879934216,-49.08830547903337,-76.49703334738709
20190130,1076,2793,1,0.004829255641047809,497,7,0.021851175775797274,0.1670648665983627,-0.19202978777388707,10,17,21.20629223568327,11.253805797626423,-41.80916438800512,-57.42900942292469
20190220,2588,12684,1,0.003789008052986368,824,7,0.07606674970210055,0.29095881801142004,-0.33152678282112524,3,10,59.887168658916394,30.80316878953711,105.15829883869988,-89.90990523692234
20190225,3014,18836,1,0.004148358660799882,789,7,0.08097286400795939,0.29852602517524124,-0.3402934602092942,4,8,39.748653951003405,38.240611186953195,-39.52127909907105,-96.99033406308568
20190226,3071,19292,1,0.0040925034763581135,804,7,0.08008772110719865,0.29705175333156225,-0.33521610419122405,5,7,15.07241591658136,17.075918207074402,-117.56878306530356,-124.36097029521088
20190227,3127,20154,1,0.004123579718960671,804,7,0.07889101229425426,0.2990616941961061,-0.3370598670173582,4,7,40.90569029223762,63.32071782117619,-40.77191573237509,-54.01523920468664
20190228,3165,21279,1,0.004249824746406552,784,7,0.07983961933563888,0.289541010234277,-0.3252977169243417,5,7,16.4687811684976,64.8281278062512,-122.02988450291662,-56.97642889156226
20190303,3333,23596,1,0.004249404532289964,782,7,0.07956772622556757,0.29205326015508226,-0.31309554985422755,7,11,68.3094646353624,65.56731525677586,-59.53227659574024,-101.78057383581323
20190304,3374,24137,1,0.004241816397905822,778,7,0.07930342967830149,0.29135423841627534,-0.3129752252002532,8,12,44.774940620259315,44.9760485174152,-106.95576044223132,-128.1661569598782
20190306,3520,25445,1,0.004108379188302462,814,8,0.08067610278578358,0.29963220227051846,-0.3146742596606164,9,13,22.70767096324746,67.88596856306644,-144.88613824973862,-115.44940974359952
20190311,3461,24264,1,0.004052422284314233,825,8,0.0827584395770676,0.30391010686683534,-0.31567544182758384,6,14,45.86470033583713,45.7165697858764,-82.95007848896611,-133.68280619767623
20190312,3441,24050,1,0.004063515878969743,818,8,0.08282571950558337,0.30494183716705764,-0.31677368763966846,8,10,-1.1170965142106937,-0.371123154279843,-169.88697375738138,-169.31861870438453
20190313,3423,23651,1,0.004038244399243062,816,8,0.08356340041664477,0.3059880824798208,-0.3117479296457745,9,14,-22.733861446549454,44.98983197096364,-195.80165554617125,-132.16343042717475
20190314,3416,23283,1,0.003991722700169043,826,8,0.08342311212105069,0.30564304441194035,-0.31339932731998116,6,12,45.20793163087204,43.877870829738825,-80.35235339802367,-125.25997956155048
20190317,3360,22177,1,0.003929918201278726,858,7,0.08459683137032738,0.3098867983861654,-0.3143334288492339,7,13,21.467334462258805,64.28852075952597,-126.99100826682245,-106.55031348629974
20190318,3344,21968,1,0.003930229129782006,861,7,0.08468282339046135,0.31089091295543214,-0.3157076950425172,10,11,-0.49822634801667576,21.33339508378845,-162.5637150045567,-140.00088188668042
20190428,4136,33168,1,0.0038787629309639136,910,6,0.07773655000772074,0.33928378017552957,-0.35935658187451713,5,9,84.61717150373853,80.72854532159607,-1.539017005134091,-92.9814088038637
20190429,4137,33157,1,0.0038756020233501605,912,6,0.07769428751782455,0.3398138775115753,-0.35949971598338243,6,9,54.34549517016623,80.69558395488787,-91.51520125474784,-92.95421183695127
20190501,4143,33195,1,0.0038688121295739133,914,6,0.07776018146603263,0.34170217259049884,-0.3590273607823957,8,11,55.232165991681114,79.30190796245662,-116.58241009234494,-113.58179121839632
20190506,4095,32734,1,0.003905056567489396,912,6,0.07787769486306317,0.34354677565058145,-0.36019385447595154,3,8,92.97934125706678,54.619700329166676,158.89811387994052,-116.45977966532107
20190507,4090,32604,1,0.0038990648773828767,911,6,0.07785055148401548,0.344809133625423,-0.36117966501768817,6,8,54.00520223133725,54.58360131478061,-90.84661946719383,-116.09254105433675
20190508,4082,32448,1,0.003895635670662711,908,6,0.07780114118127793,0.34634010968049833,-0.3618734598732765,5,11,84.16241581816337,78.43927837276084,-0.848208084976249,-112.59848230358492
20190509,4070,32231,1,0.0038924377582524546,906,6,0.07769485710664521,0.3472681292803729,-0.3635578411083675,7,9,81.43711959825595,79.68743284313493,-59.66445031848414,-91.78458448650706
20190617,4305,30663,1,0.003309780708003575,1049,6,0.06794321143419521,0.31836278182295585,-0.3135357453982868,8,13,53.383124299548534,76.05001674838368,-106.63238947416866,-117.5758740528983
20190618,4301,30650,1,0.003314534748544146,1044,6,0.06799551138482866,0.3188544106669815,-0.3133786334623642,6,14,52.543363182685496,54.097212110182205,-80.64729209361374,-142.58285345759683
20190619,4302,30633,1,0.0033111562715945854,1041,6,0.0679880660190744,0.3199155220184371,-0.31365384655634904,6,10,52.53698197127393,53.45361711182535,-80.56173896299815,-123.33056744822164
20190620,4346,30990,1,0.003282253114777712,1049,6,0.06749992711505069,0.31950287122572724,-0.31188117239653007,5,16,81.97485788736458,53.95522490163628,13.661175768883172,-149.94243745091282
20190623,4333,30774,1,0.0032789652048666007,1047,6,0.06749200364781578,0.32266756724970724,-0.3129004864151835,9,15,28.740867781034066,32.940669131373966,-150.1235553117416,-163.90527208801166
20190624,4323,30695,1,0.0032856979386540553,1041,6,0.06752728340352307,0.3226602925616333,-0.3129575869979645,8,14,53.59886069098131,54.31645586956357,-106.06180711548886,-142.3008333240104
20190626,4290,30409,1,0.0033053602183935596,1037,7,0.06731304460295182,0.3221716925443617,-0.3134311681686867,4,13,50.537080140216325,32.46288121305949,-31.55178104277484,-158.6897672352033
20190715,4359,29087,1,0.003062350044918749,1116,7,0.0771976107629527,0.31745473329202656,-0.3284562460153401,8,11,53.574696744401614,31.617297281379066,-98.70506583594894,-148.5514585906856
20190716,4380,29199,1,0.0030447309231168684,1122,7,0.07734755485293487,0.3165656505882955,-0.3281388505453071,6,14,53.73861738195569,53.556767248654296,-69.46454182261004,-136.93085237649666
20190717,4390,29421,1,0.003053917668472278,1125,7,0.07721546432603381,0.3170314284958963,-0.32861795043412917,5,11,81.01502492395655,31.950277934105255,23.069480413672203,-149.10180403526306
20190718,4405,29524,1,0.003043770960462112,1130,6,0.07704064755846339,0.316676118339205,-0.3279426139947584,3,8,85.0022697258008,53.961837649762565,178.69403997027115,-99.139035128344
20190721,4412,29974,1,0.003080364694461818,1114,6,0.07816352059050925,0.31843981703549007,-0.32756356354998295,5,15,81.84496368866395,33.90262619879712,22.576036079659993,-160.0043737772055
20190722,4421,30107,1,0.003081446940302403,1114,6,0.07816647479890114,0.3192649736404951,-0.3278777493089721,7,13,79.86049808807516,33.5138495507033,-41.37394472447026,-155.88024197735726
20190724,4436,30290,1,0.0030792440247518764,1108,6,0.0780145190862213,0.32084183072369493,-0.3273968036219943,11,14,32.94213340648906,54.88553454609212,-150.6114544964898,-139.14407884809896
20190729,4475,30667,1,0.0030634603906369014,1117,6,0.07772367639505119,0.323402327097802,-0.32911845844688464,6,13,55.060784615976104,33.80088395224712,-71.14836603402665,-157.13616975430674
