timestamp,edges_intersection_rate,matched_paths,total_paths
20190121,0.9944428029183808,87505,87994
20190123,0.9668916462809592,98417,101787
20190128,0.8201010939585326,78040,95159
20190129,0.9217702487596873,79334,86067
20190130,0.8623089465381709,65050,75437
20190220,0.7507004098265763,32422,43189
20190225,0.9553919115682858,1015723,1063148
20190226,0.9777313099586706,1690297,1728795
20190227,0.987027117283801,1832480,1856565
20190228,0.9617518748031954,1887540,1962606
20190303,0.9218155589269584,2102311,2280620
20190304,0.8861990302805577,2638530,2977356
20190306,0.9195962377569331,2885224,3137490
20190311,0.9089964682077853,3062510,3369111
20190312,0.9790470617232518,3205544,3274147
20190313,0.9601257558189303,3084476,3212575
20190314,0.9650977082960422,3057085,3167643
20190317,0.830518147104979,2524972,3040237
20190318,0.8319513151054003,2379538,2860189
20190428,0.7083945315821616,1466218,2069776
20190429,0.9588726323725116,4903200,5113505
20190501,0.9718641011184997,4918059,5060439
20190506,0.8974004280050524,4441241,4949007
20190507,0.970057881294468,4544824,4685106
20190508,0.9456970165467199,4365014,4615658
20190509,0.91914858048468,4156650,4522283
20190617,0.4220297533856335,1543673,3657735
20190618,0.9898439811831087,5338676,5393452
20190619,0.9836606894005986,5276292,5363935
20190620,0.9851732475628956,5241366,5320248
20190623,0.8943167400132066,4844495,5416979
20190624,0.7685707222897379,4007659,5214431
20190626,0.8610790984709248,4394103,5103019
20190715,0.7397491048494832,3245465,4387251
20190716,0.9842747407695132,5356870,5442454
20190717,0.9879623748766614,5417876,5483889
20190718,0.9855511558568122,5440814,5520580
20190721,0.8975593960345958,4956060,5521707
20190722,0.9630362886111048,5375084,5581393
20190724,0.9706884649619254,5451599,5616219
20190729,0.9248145820637599,5247840,5674478
20190730,0.9667014327238107,5497226,5686581
20190731,0.95635968774879,5429713,5677480
20190801,0.9609972645641646,5464340,5686114
20190804,0.869451067264412,4908819,5645883
20190805,0.9704462797658499,5966656,6148363
20190807,0.9648849301012542,5928006,6143744
20190812,0.4859923461328119,2996518,6165772
20190813,0.9823955825077177,6225430,6336989
20190814,0.9822265778335079,6268129,6381551
20190815,0.5351539376270181,3385577,6326361
20190818,0.6167577164022094,3800923,6162749
20190819,0.9830909071621328,6023688,6127295
20190821,0.9460774234791615,5691826,6016237
20190826,0.9391592233442717,5474932,5829610
20190827,0.9789410661651257,5783250,5907659
20190828,0.22084219154012963,1349899,6112505
20190829,0.9396954707128025,5713231,6079875
20190901,0.8444447782817621,5115231,6057508
20190902,0.934319630866799,5515812,5903560
20190904,0.7310112661245833,4290637,5869454
20190909,0.6613080962056824,4006383,6058270
20190910,0.9806828616559105,6133425,6254239
20190911,0.9138675483561083,5753520,6295792
20190912,0.9610441746472788,5996833,6239914
20190915,0.8536232613487587,5325537,6238744
20190916,0.9609616053252211,6063858,6310198
20190918,0.9066302273360479,5730486,6320643
20190923,0.6351138092963693,3970588,6251774
20190924,0.7760264632139469,4899575,6313670
20190925,0.9531086817223922,6036043,6333006
20190926,0.9536455300741881,6030532,6323662
20190929,0.8602173533443273,5414042,6293807
20190930,0.9651036787344351,6114120,6335195
20191002,0.9252867567303733,5791417,6259051
20191007,0.6986708331106223,4300465,6155209
20191008,0.9544821861425568,5859632,6139069
20191009,0.9836098360327872,6000080,6100061
20191010,0.9810999517184784,5907141,6020937
20191013,0.9239446224384672,5303055,5739581
20191014,0.8218350352167099,4625996,5628862
20191016,0.7038095743387539,4006177,5692132
20191021,0.7585384554049417,4480695,5907011
20191022,0.9679860907271405,5889783,6084574
20191023,0.9610498908941779,5886667,6125246
20191024,0.8466252931899937,5186551,6126147
20191027,0.8832338856517091,5428011,6145610
20191028,0.9005578345570951,5595608,6213491
20191030,0.7837088277022545,4837257,6172263
20191104,0.7485224644426469,4603619,6150275
20191105,0.8118003918712631,5011614,6173456
20191106,0.970807692684376,5947498,6126340
20191107,0.9571736108135427,5874855,6137711
20191110,0.9183889894128215,5624745,6124578
20191111,0.9509334113716452,5771038,6068814
20191113,0.882049336902899,5281079,5987283
20191118,0.492261055327335,2626450,5335482
20200127,0.461853379849563,1473576,3190571
20200128,0.9687474898752906,5234257,5403118
20200129,0.9832808855335805,5305940,5396159
20200130,0.9614624255075809,5112887,5317823
20200202,0.8251222551258993,4342762,5263174
20200203,0.9271097320639726,5870075,6331586
20200205,0.9369928563021177,6209283,6626820
20200210,0.8418974884292276,5554188,6597226
20200211,0.9841501914277818,6787800,6897118
20200212,0.9879005776888814,6856439,6940414
20200213,0.9810589539844616,6921315,7054943
20200216,0.924032975018533,6566389,7106228
20200217,0.962737355263118,6989375,7259898
20200219,0.8921528176979991,6543113,7334072
20200224,0.884028523183702,6233751,7051527
20200225,0.9622920297909143,6899477,7169837
20200226,0.9559882308779214,6878755,7195439
20200227,0.9394849457446025,6774268,7210619
20200301,0.870024933154326,6169312,7090960
20200302,0.8624450832078553,6155017,7136706
20200304,0.940423735131036,6799652,7230413
20200309,0.8723461666879472,6210392,7119183
20200310,0.9813430223613293,7163071,7299253
20200311,0.9839114978144193,7112893,7229200
20200312,0.9775336086274651,7001605,7162521
20200315,0.8673504515641633,6061947,6989040
20200316,0.9125517167543239,6205150,6799779
20200318,0.8350965641523076,5788866,6931972
20200323,0.8171256995144227,5253677,6429460
20200324,0.9917343120901897,6576457,6631269
20200325,0.9889728009342249,6551479,6624529
20200326,0.9040430414324889,5979592,6614278
20200329,0.898640192393614,6391954,7112918
20200330,0.9264317613357606,6771488,7309214
20200401,0.945482120648777,6944760,7345205
20200406,0.71028600103128,5133884,7227911
20200407,0.9481989657696641,6863835,7238813
20200408,0.990954333223986,7216727,7282603
20200409,0.7922905346951331,5741247,7246391
20200412,0.8438133818220382,6110748,7241824
20200413,0.9288585906812213,6848140,7372640
20200415,0.9276774440932183,6807978,7338734
20200420,0.8746020225862877,6414570,7334273
20200421,0.984778543641465,7290287,7402971
20200422,0.9782488930870206,7514638,7681724
20200423,0.9822516837608439,7704683,7843899
20200426,0.7982191545095744,6085907,7624356
20200427,0.9060313307868708,7074964,7808741
20200429,0.8849037322223731,6917842,7817621
20200504,0.8859559883966838,6952156,7847067
20200505,0.9886640559268794,7985839,8077404
