timestamp,fast_label_propagation_communities
20190120,11
20190121,5
20190123,8
20190128,8
20190129,7
20190130,7
20190220,11
20190225,9
20190226,9
20190227,9
20190228,10
20190303,15
20190304,15
20190306,12
20190311,16
20190312,14
20190313,17
20190314,18
20190317,17
20190318,16
20190428,9
20190429,8
20190501,10
20190506,6
20190507,5
20190508,6
20190509,8
20190617,14
20190618,15
20190619,15
20190620,15
20190623,13
20190624,12
20190626,10
20190715,12
20190716,10
20190717,10
20190718,12
20190721,11
20190722,11
20190724,14
20190729,14
20190730,14
20190731,16
20190801,15
20190804,15
20190805,15
20190807,14
20190812,13
20190813,12
20190814,11
20190815,12
20190818,11
20190819,11
20190821,13
20190826,12
20190827,11
20190828,12
20190829,12
20190901,14
20190902,13
20190904,13
20190909,13
20190910,9
20190911,8
20190912,10
20190915,13
20190916,11
20190918,13
20190923,16
20190924,14
20190925,16
20190926,15
20190929,15
20190930,15
20191002,14
20191007,14
20191008,16
20191009,12
20191010,13
20191013,12
20191014,15
20191016,17
20191021,17
20191022,18
20191023,18
20191024,19
20191027,18
20191028,18
20191030,15
20191104,13
20191105,14
20191106,13
20191107,15
20191110,15
20191111,15
20191113,16
20191118,17
20200127,20
20200128,21
20200129,23
20200130,22
20200202,21
20200203,19
20200205,17
20200210,15
20200211,17
20200212,18
20200213,19
20200216,17
20200217,14
20200219,17
20200224,22
20200225,21
20200226,19
20200227,20
20200301,22
20200302,21
20200304,22
20200309,19
20200310,20
20200311,21
20200312,19
20200315,19
20200316,19
20200318,25
20200323,22
20200324,22
20200325,20
20200326,24
20200329,23
20200330,24
20200401,26
20200406,21
20200407,21
20200408,21
20200409,22
20200412,23
20200413,23
20200415,20
20200420,23
20200421,25
20200422,24
20200423,23
20200426,28
20200427,28
20200429,30
20200504,26
20200505,28
20200506,26
20200507,27
20200510,30
20200511,27
20200513,27
20200518,28
20200519,27
20200520,28
20200521,28
20200524,29
20200525,29
20200527,29
20200601,29
20200602,29
20200603,29
20200604,34
20200610,31
20200615,34
20200616,34
20200617,32
20200618,31
20200621,33
20200622,38
20200624,40
20200629,36
20200630,36
20200701,33
20200702,38
20200705,36
20200706,34
20200708,39
20200713,38
20200714,35
20200715,35
20200716,35
20200719,39
20200720,38
20200722,39
20200727,40
20200728,35
20200729,37
20200730,37
20200802,33
20200803,36
20200805,32
20200810,39
20200811,35
20200812,33
20200813,36
20200816,35
20200817,34
20200819,34
20200824,36
20200825,34
20200826,35
20200827,33
20200830,37
20200831,35
20200902,37
20200907,36
20200908,32
20200909,35
20200910,35
20200913,33
20200914,33
20200916,34
20200921,35
20200922,32
20200923,36
20200924,36
20200927,36
20200928,36
20200930,36
20201005,33
20201006,25
20201007,27
20201008,25
20201011,27
20201012,26
20201014,30
20201019,25
20201020,27
20201021,26
20201022,29
20201025,38
20201026,34
20201102,35
20201103,32
20201104,33
20201105,35
20201108,41
20201109,39
20201117,33
20201118,40
20201119,39
20201122,37
20201123,45
20201201,38
20201202,42
20201203,37
20201206,40
20201207,42
20201215,33
20201216,38
20201220,35
20201221,33
20201229,35
20201230,34
20210103,33
20210104,30
20210112,43
20210113,48
20210117,46
20210126,44
20210127,44
20210131,50
20210209,47
20210210,53
20210214,48
20210223,59
20210224,61
20210228,63
20210309,68
20210310,66
20210314,70
20210323,70
20210324,64
20210328,81
20210406,85
20210407,90
20210411,97
20210420,94
20210421,83
20210425,94
20210504,94
20210505,100
20210509,81
20210518,106
20210519,93
20210523,107
20210601,93
20210602,89
20210606,87
20210615,105
20210616,100
20210620,101
20210629,111
20210630,108
20210704,107
20210713,87
20210714,102
20210718,116
20210727,122
20210728,129
20210801,119
20210810,137
20210811,140
20210815,145
20210824,150
20210825,153
20210829,148
20210907,160
20210908,157
20210912,145
20210921,144
20210926,142
20211010,155
20220222,204
20220227,207
20220308,206
20220313,194
20220322,199
20220327,205
20220405,214
20220410,206
20220419,241
20220424,234
20220503,219
20220508,224
20220517,245
20220522,242
20220531,238
20220605,238
20230604,102
20230618,103
20230702,95
20230716,85
