timestamp,fast_label_propagation_communities
20190120,7
20190121,8
20190123,8
20190128,10
20190129,10
20190130,7
20190220,11
20190225,7
20190226,6
20190227,9
20190228,7
20190303,14
20190304,13
20190306,10
20190311,13
20190312,12
20190313,11
20190314,10
20190317,13
20190318,14
20190428,7
20190429,6
20190501,6
20190506,6
20190507,8
20190508,6
20190509,5
20190617,10
20190618,10
20190619,10
20190620,10
20190623,8
20190624,12
20190626,9
20190715,8
20190716,7
20190717,8
20190718,9
20190721,8
20190722,8
20190724,8
20190729,7
20190730,8
20190731,10
20190801,9
20190804,7
20190805,8
20190807,8
20190812,9
20190813,8
20190814,7
20190815,6
20190818,5
20190819,5
20190821,8
20190826,7
20190827,10
20190828,9
20190829,10
20190901,9
20190902,9
20190904,10
20190909,9
20190910,7
20190911,9
20190912,10
20190915,10
20190916,8
20190918,8
20190923,6
20190924,10
20190925,9
20190926,8
20190929,11
20190930,10
20191002,11
20191007,10
20191008,9
20191009,11
20191010,9
20191013,9
20191014,11
20191016,13
20191021,8
20191022,11
20191023,13
20191024,6
20191027,8
20191028,11
20191030,10
20191104,7
20191105,5
20191106,7
20191107,8
20191110,9
20191111,6
20191113,8
20191118,10
20200127,17
20200128,15
20200129,17
20200130,16
20200202,13
20200203,12
20200205,10
20200210,11
20200211,10
20200212,15
20200213,10
20200216,10
20200217,11
20200219,10
20200224,14
20200225,12
20200226,15
20200227,14
20200301,12
20200302,15
20200304,13
20200309,16
20200310,15
20200311,18
20200312,16
20200315,13
20200316,15
20200318,17
20200323,17
20200324,17
20200325,16
20200326,19
20200329,18
20200330,16
20200401,21
20200406,20
20200407,17
20200408,21
20200409,15
20200412,17
20200413,15
20200415,16
20200420,15
20200421,19
20200422,16
20200423,18
20200426,19
20200427,18
20200429,18
20200504,20
20200505,23
20200506,24
20200507,20
20200510,23
20200511,22
20200513,21
20200518,21
20200519,21
20200520,25
20200521,23
20200524,24
20200525,20
20200527,25
20200601,20
20200602,19
20200603,19
20200604,26
20200610,15
20200615,20
20200616,23
20200617,20
20200618,29
20200621,22
20200622,23
20200624,27
20200629,21
20200630,19
20200701,25
20200702,23
20200705,23
20200706,24
20200708,23
20200713,23
20200714,23
20200715,24
20200716,23
20200719,27
20200720,24
20200722,27
20200727,27
20200728,26
20200729,25
20200730,25
20200802,25
20200803,28
20200805,30
20200810,29
20200811,25
20200812,25
20200813,24
20200816,27
20200817,27
20200819,26
20200824,26
20200825,27
20200826,26
20200827,24
20200830,27
20200831,29
20200902,31
20200907,29
20200908,29
20200909,26
20200910,26
20200913,25
20200914,25
20200916,24
20200921,30
20200922,26
20200923,27
20200924,25
20200927,28
20200928,28
20200930,27
20201005,19
20201006,17
20201007,21
20201008,17
20201011,23
20201012,19
20201014,17
20201019,22
20201020,22
20201021,22
20201022,19
20201025,22
20201026,21
20201102,27
20201103,30
20201104,31
20201105,35
20201108,35
20201109,34
20201117,36
20201118,37
20201119,31
20201122,36
20201123,40
20201201,34
20201202,36
20201203,31
20201206,37
20201207,38
20201215,37
20201216,30
20201220,30
20201221,31
20201229,40
20201230,39
20210103,33
20210104,32
20210112,31
20210113,33
20210117,35
20210126,44
20210127,42
20210131,48
20210209,48
20210210,48
20210214,42
20210223,59
20210224,54
20210228,63
20210309,61
20210310,60
20210314,62
20210323,72
20210324,67
20210328,76
20210406,77
20210407,80
20210411,83
20210420,74
20210421,71
20210425,78
20210504,80
20210505,85
20210509,76
20210518,85
20210519,78
20210523,82
20210601,75
20210602,72
20210606,71
20210615,78
20210616,71
20210620,79
20210629,87
20210630,92
20210704,91
20210713,79
20210714,85
20210718,83
20210727,92
20210728,97
20210801,94
20210810,100
20210811,105
20210815,113
20210824,114
20210825,103
20210829,107
20210907,111
20210908,123
20210912,111
20210921,122
20210926,114
20211010,125
20220222,156
20220227,141
20220308,146
20220313,149
20220322,154
20220327,164
20220405,164
20220410,160
20220419,169
20220424,169
20220503,176
20220508,177
20220517,183
20220522,195
20220531,194
20220605,178
20230604,84
20230618,87
20230702,85
20230716,79
