timestamp,fast_label_propagation_communities
20190120,16
20190121,26
20190123,10
20190128,12
20190129,13
20190130,14
20190220,20
20190225,18
20190226,20
20190227,21
20190228,19
20190303,22
20190304,20
20190306,25
20190311,30
20190312,27
20190313,30
20190314,33
20190317,31
20190318,33
20190428,19
20190429,20
20190501,20
20190506,17
20190507,16
20190508,17
20190509,18
20190617,35
20190618,35
20190619,36
20190620,36
20190623,28
20190624,28
20190626,28
20190715,32
20190716,28
20190717,26
20190718,26
20190721,32
20190722,30
20190724,35
20190729,33
20190730,34
20190731,38
20190801,37
20190804,36
20190805,38
20190807,26
20190812,27
20190813,29
20190814,28
20190815,25
20190818,24
20190819,23
20190821,24
20190826,24
20190827,28
20190828,26
20190829,25
20190901,28
20190902,26
20190904,29
20190909,27
20190910,24
20190911,23
20190912,26
20190915,27
20190916,25
20190918,30
20190923,34
20190924,35
20190925,33
20190926,37
20190929,34
20190930,35
20191002,33
20191007,29
20191008,30
20191009,32
20191010,33
20191013,30
20191014,31
20191016,38
20191021,45
20191022,47
20191023,45
20191024,40
20191027,40
20191028,47
20191030,42
20191104,34
20191105,33
20191106,34
20191107,35
20191110,40
20191111,42
20191113,43
20191118,26
20200127,42
20200128,40
20200129,53
20200130,53
20200202,44
20200203,37
20200205,32
20200210,35
20200211,33
20200212,32
20200213,41
20200216,39
20200217,41
20200219,41
20200224,40
20200225,37
20200226,41
20200227,37
20200301,41
20200302,42
20200304,39
20200309,42
20200310,44
20200311,49
20200312,53
20200315,42
20200316,41
20200318,41
20200323,43
20200324,47
20200325,47
20200326,46
20200329,45
20200330,49
20200401,44
20200406,43
20200407,48
20200408,45
20200409,50
20200412,54
20200413,52
20200415,49
20200420,48
20200421,50
20200422,50
20200423,47
20200426,55
20200427,55
20200429,48
20200504,51
20200505,59
20200506,53
20200507,56
20200510,72
20200511,51
20200513,55
20200518,57
20200519,57
20200520,57
20200521,62
20200524,64
20200525,71
20200527,63
20200601,68
20200602,69
20200603,75
20200604,58
20200610,61
20200615,53
20200616,56
20200617,55
20200618,65
20200621,64
20200622,55
20200624,70
20200629,59
20200630,56
20200701,55
20200702,77
20200705,62
20200706,58
20200708,57
20200713,56
20200714,55
20200715,56
20200716,54
20200719,58
20200720,57
20200722,59
20200727,59
20200728,61
20200729,59
20200730,55
20200802,60
20200803,63
20200805,65
20200810,61
20200811,57
20200812,60
20200813,60
20200816,65
20200817,60
20200819,57
20200824,59
20200825,67
20200826,73
20200827,68
20200830,54
20200831,53
20200902,54
20200907,52
20200908,50
20200909,56
20200910,57
20200913,68
20200914,63
20200916,64
20200921,72
20200922,65
20200923,54
20200924,59
20200927,55
20200928,62
20200930,57
20201005,52
20201006,41
20201007,43
20201008,39
20201011,42
20201012,38
20201014,40
20201019,41
20201020,43
20201021,55
20201022,49
20201025,59
20201026,65
20201102,73
20201103,80
20201104,67
20201105,70
20201108,87
20201109,88
20201117,88
20201118,91
20201119,103
20201122,104
20201123,107
20201201,98
20201202,123
20201203,91
20201206,97
20201207,96
20201215,92
20201216,97
20201220,100
20201221,78
20201229,93
20201230,97
20210103,91
20210104,89
20210112,105
20210113,101
20210117,96
20210126,98
20210127,99
20210131,95
20210209,91
20210210,94
20210214,98
20210223,107
20210224,107
20210228,118
20210309,122
20210310,118
20210314,130
20210323,142
20210324,140
20210328,143
20210406,151
20210407,174
20210411,189
20210420,189
20210421,179
20210425,190
20210504,187
20210505,180
20210509,158
20210518,173
20210519,161
20210523,169
20210601,165
20210602,178
20210606,191
20210615,198
20210616,184
20210620,199
20210629,186
20210630,197
20210704,173
20210713,163
20210714,205
20210718,251
20210727,217
20210728,242
20210801,260
20210810,281
20210811,265
20210815,286
20210824,393
20210825,394
20210829,404
20210907,354
20210908,352
20210912,424
20210921,358
20210926,397
20211010,377
20220222,713
20220227,659
20220308,664
20220313,659
20220322,652
20220327,660
20220405,704
20220410,584
20220419,610
20220424,802
20220503,801
20220508,840
20220517,896
20220522,891
20220531,817
20220605,964
20230604,554
20230618,522
20230702,468
20230716,478
