timestamp,fast_label_propagation_communities
20190120,10
20190121,6
20190123,8
20190128,7
20190129,9
20190130,6
20190220,12
20190225,13
20190226,14
20190227,14
20190228,15
20190303,17
20190304,15
20190306,16
20190311,23
20190312,20
20190313,22
20190314,25
20190317,22
20190318,27
20190428,14
20190429,18
20190501,16
20190506,13
20190507,15
20190508,13
20190509,13
20190617,24
20190618,22
20190619,24
20190620,23
20190623,21
20190624,21
20190626,16
20190715,13
20190716,11
20190717,13
20190718,12
20190721,17
20190722,16
20190724,18
20190729,22
20190730,22
20190731,24
20190801,23
20190804,18
20190805,19
20190807,16
20190812,14
20190813,16
20190814,14
20190815,15
20190818,15
20190819,13
20190821,16
20190826,15
20190827,16
20190828,15
20190829,16
20190901,17
20190902,15
20190904,19
20190909,19
20190910,17
20190911,15
20190912,16
20190915,16
20190916,17
20190918,17
20190923,19
20190924,19
20190925,18
20190926,19
20190929,19
20190930,18
20191002,20
20191007,19
20191008,18
20191009,18
20191010,17
20191013,17
20191014,23
20191016,21
20191021,24
20191022,28
20191023,26
20191024,25
20191027,22
20191028,26
20191030,23
20191104,17
20191105,18
20191106,18
20191107,21
20191110,21
20191111,25
20191113,23
20191118,20
20200127,31
20200128,31
20200129,38
20200130,39
20200202,28
20200203,27
20200205,23
20200210,29
20200211,32
20200212,35
20200213,28
20200216,31
20200217,30
20200219,29
20200224,33
20200225,30
20200226,31
20200227,33
20200301,31
20200302,29
20200304,31
20200309,31
20200310,32
20200311,35
20200312,33
20200315,31
20200316,32
20200318,36
20200323,29
20200324,34
20200325,37
20200326,32
20200329,31
20200330,32
20200401,37
20200406,40
20200407,32
20200408,35
20200409,37
20200412,37
20200413,35
20200415,35
20200420,38
20200421,37
20200422,32
20200423,32
20200426,36
20200427,39
20200429,37
20200504,42
20200505,44
20200506,43
20200507,41
20200510,42
20200511,36
20200513,37
20200518,36
20200519,35
20200520,46
20200521,37
20200524,44
20200525,40
20200527,42
20200601,42
20200602,39
20200603,36
20200604,49
20200610,29
20200615,35
20200616,39
20200617,49
20200618,40
20200621,40
20200622,40
20200624,38
20200629,38
20200630,34
20200701,37
20200702,37
20200705,35
20200706,37
20200708,42
20200713,38
20200714,39
20200715,36
20200716,39
20200719,44
20200720,41
20200722,40
20200727,43
20200728,39
20200729,40
20200730,42
20200802,43
20200803,42
20200805,37
20200810,40
20200811,39
20200812,34
20200813,37
20200816,41
20200817,37
20200819,38
20200824,38
20200825,42
20200826,41
20200827,37
20200830,35
20200831,36
20200902,36
20200907,38
20200908,27
20200909,30
20200910,27
20200913,31
20200914,31
20200916,31
20200921,35
20200922,31
20200923,33
20200924,26
20200927,35
20200928,36
20200930,30
20201005,28
20201006,31
20201007,28
20201008,26
20201011,32
20201012,28
20201014,29
20201019,28
20201020,27
20201021,26
20201022,33
20201025,43
20201026,39
20201102,38
20201103,40
20201104,42
20201105,44
20201108,46
20201109,48
20201117,50
20201118,48
20201119,52
20201122,53
20201123,63
20201201,51
20201202,52
20201203,52
20201206,50
20201207,53
20201215,51
20201216,48
20201220,58
20201221,55
20201229,56
20201230,61
20210103,49
20210104,47
20210112,67
20210113,73
20210117,58
20210126,55
20210127,60
20210131,70
20210209,61
20210210,62
20210214,62
20210223,65
20210224,60
20210228,85
20210309,80
20210310,90
20210314,97
20210323,94
20210324,91
20210328,100
20210406,101
20210407,110
20210411,115
20210420,107
20210421,113
20210425,124
20210504,132
20210505,136
20210509,180
20210518,115
20210519,114
20210523,111
20210601,111
20210602,107
20210606,123
20210615,109
20210616,122
20210620,134
20210629,122
20210630,119
20210704,119
20210713,94
20210714,117
20210718,139
20210727,152
20210728,158
20210801,147
20210810,174
20210811,189
20210815,179
20210824,218
20210825,233
20210829,259
20210907,243
20210908,241
20210912,230
20210921,281
20210926,266
20211010,274
20220222,437
20220227,425
20220308,456
20220313,434
20220322,424
20220327,465
20220405,447
20220410,390
20220419,401
20220424,509
20220503,496
20220508,521
20220517,557
20220522,534
20220531,535
20220605,526
20230604,307
20230618,342
20230702,315
20230716,309
