timestamp,fast_label_propagation_communities
20190120,14
20190121,9
20190123,19
20190128,9
20190129,13
20190130,10
20190220,14
20190225,16
20190226,18
20190227,17
20190228,15
20190303,21
20190304,17
20190306,23
20190311,31
20190312,28
20190313,28
20190314,30
20190317,28
20190318,29
20190428,17
20190429,15
20190501,19
20190506,15
20190507,15
20190508,16
20190509,17
20190617,21
20190618,28
20190619,30
20190620,23
20190623,27
20190624,20
20190626,23
20190715,22
20190716,22
20190717,22
20190718,22
20190721,26
20190722,25
20190724,31
20190729,30
20190730,32
20190731,33
20190801,30
20190804,31
20190805,30
20190807,24
20190812,20
20190813,22
20190814,24
20190815,28
20190818,21
20190819,22
20190821,22
20190826,24
20190827,24
20190828,26
20190829,29
20190901,25
20190902,23
20190904,24
20190909,26
20190910,24
20190911,25
20190912,24
20190915,23
20190916,26
20190918,25
20190923,30
20190924,29
20190925,32
20190926,31
20190929,31
20190930,30
20191002,30
20191007,29
20191008,22
20191009,23
20191010,30
20191013,28
20191014,30
20191016,34
20191021,37
20191022,37
20191023,38
20191024,39
20191027,37
20191028,46
20191030,49
20191104,37
20191105,35
20191106,33
20191107,33
20191110,41
20191111,40
20191113,40
20191118,32
20200127,40
20200128,41
20200129,50
20200130,44
20200202,35
20200203,32
20200205,36
20200210,38
20200211,35
20200212,36
20200213,36
20200216,38
20200217,55
20200219,37
20200224,34
20200225,34
20200226,37
20200227,35
20200301,38
20200302,34
20200304,43
20200309,38
20200310,35
20200311,51
20200312,39
20200315,38
20200316,35
20200318,33
20200323,33
20200324,46
20200325,36
20200326,43
20200329,39
20200330,42
20200401,38
20200406,40
20200407,47
20200408,47
20200409,41
20200412,45
20200413,44
20200415,43
20200420,47
20200421,45
20200422,40
20200423,43
20200426,51
20200427,52
20200429,50
20200504,41
20200505,61
20200506,51
20200507,50
20200510,48
20200511,46
20200513,55
20200518,48
20200519,45
20200520,48
20200521,61
20200524,51
20200525,61
20200527,56
20200601,60
20200602,52
20200603,57
20200604,52
20200610,43
20200615,50
20200616,47
20200617,44
20200618,54
20200621,51
20200622,46
20200624,47
20200629,48
20200630,58
20200701,67
20200702,48
20200705,49
20200706,51
20200708,48
20200713,51
20200714,48
20200715,50
20200716,52
20200719,59
20200720,54
20200722,42
20200727,50
20200728,53
20200729,49
20200730,46
20200802,51
20200803,55
20200805,58
20200810,50
20200811,56
20200812,47
20200813,50
20200816,44
20200817,45
20200819,46
20200824,44
20200825,48
20200826,48
20200827,50
20200830,41
20200831,40
20200902,47
20200907,42
20200908,41
20200909,38
20200910,41
20200913,56
20200914,43
20200916,50
20200921,48
20200922,50
20200923,41
20200924,45
20200927,43
20200928,47
20200930,43
20201005,37
20201006,35
20201007,34
20201008,34
20201011,37
20201012,35
20201014,31
20201019,40
20201020,37
20201021,51
20201022,41
20201025,45
20201026,47
20201102,53
20201103,55
20201104,57
20201105,57
20201108,73
20201109,77
20201117,70
20201118,73
20201119,75
20201122,80
20201123,86
20201201,81
20201202,82
20201203,75
20201206,73
20201207,76
20201215,58
20201216,70
20201220,73
20201221,63
20201229,68
20201230,73
20210103,78
20210104,78
20210112,90
20210113,56
20210117,79
20210126,72
20210127,74
20210131,84
20210209,64
20210210,81
20210214,79
20210223,83
20210224,91
20210228,91
20210309,108
20210310,97
20210314,109
20210323,112
20210324,117
20210328,127
20210406,124
20210407,131
20210411,144
20210420,137
20210421,139
20210425,142
20210504,146
20210505,143
20210509,115
20210518,125
20210519,133
20210523,137
20210601,131
20210602,124
20210606,137
20210615,150
20210616,138
20210620,156
20210629,136
20210630,150
20210704,153
20210713,126
20210714,131
20210718,173
20210727,155
20210728,177
20210801,176
20210810,214
20210811,193
20210815,230
20210824,294
20210825,264
20210829,261
20210907,269
20210908,274
20210912,305
20210921,283
20210926,292
20211010,305
20220222,525
20220227,487
20220308,500
20220313,499
20220322,495
20220327,500
20220405,519
20220410,475
20220419,475
20220424,575
20220503,632
20220508,662
20220517,679
20220522,652
20220531,609
20220605,764
20230604,458
20230618,425
20230702,376
20230716,349
