timestamp,greedy_modularity_communities
20190120,17
20190121,12
20190123,14
20190128,17
20190129,13
20190130,17
20190220,15
20190225,14
20190226,13
20190227,16
20190228,17
20190303,26
20190304,29
20190306,19
20190311,27
20190312,34
20190313,21
20190314,23
20190317,21
20190318,21
20190428,26
20190429,24
20190501,31
20190506,29
20190507,33
20190508,29
20190509,21
20190617,22
20190618,33
20190619,20
20190620,20
20190623,24
20190624,19
20190626,25
20190715,21
20190716,19
20190717,16
20190718,27
20190721,18
20190722,25
20190724,21
20190729,19
20190730,17
20190731,17
20190801,19
20190804,23
20190805,19
20190807,22
20190812,22
20190813,18
20190814,18
20190815,17
20190818,13
20190819,17
20190821,16
20190826,18
20190827,18
20190828,17
20190829,21
20190901,17
20190902,21
20190904,19
20190909,18
20190910,27
20190911,13
20190912,15
20190915,20
20190916,34
20190918,17
20190923,21
20190924,19
20190925,23
20190926,16
20190929,29
20190930,23
20191002,17
20191007,23
20191008,24
20191009,18
20191010,21
20191013,20
20191014,24
20191016,24
20191021,29
20191022,22
20191023,25
20191024,26
20191027,28
20191028,30
20191030,26
20191104,30
20191105,23
20191106,18
20191107,23
20191110,15
20191111,17
20191113,17
20191118,20
20200127,29
20200128,25
20200129,26
20200130,25
20200202,22
20200203,21
20200205,18
20200210,22
20200211,33
20200212,37
20200213,27
20200216,25
20200217,20
20200219,25
20200224,36
20200225,28
20200226,29
20200227,28
20200301,29
20200302,29
20200304,40
20200309,28
20200310,29
20200311,30
20200312,24
20200315,26
20200316,24
20200318,31
20200323,29
20200324,30
20200325,28
20200326,34
20200329,30
20200330,30
20200401,37
20200406,29
20200407,26
20200408,32
20200409,33
20200412,28
20200413,27
20200415,32
20200420,29
20200421,34
20200422,29
20200423,33
20200426,33
20200427,34
20200429,28
20200504,27
20200505,25
20200506,34
20200507,29
20200510,32
20200511,41
20200513,29
20200518,33
20200519,29
20200520,29
20200521,38
20200524,34
20200525,29
20200527,31
20200601,23
20200602,30
20200603,25
20200604,32
20200610,31
20200615,32
20200616,29
20200617,25
20200618,29
20200621,30
20200622,28
20200624,28
20200629,29
20200630,28
20200701,25
20200702,29
20200705,28
20200706,27
20200708,29
20200713,26
20200714,26
20200715,28
20200716,32
20200719,27
20200720,28
20200722,30
20200727,28
20200728,28
20200729,29
20200730,32
20200802,31
20200803,28
20200805,30
20200810,33
20200811,31
20200812,32
20200813,38
20200816,28
20200817,27
20200819,29
20200824,29
20200825,33
20200826,27
20200827,37
20200830,39
20200831,33
20200902,38
20200907,35
20200908,40
20200909,43
20200910,39
20200913,39
20200914,36
20200916,29
20200921,38
20200922,35
20200923,37
20200924,40
20200927,44
20200928,44
20200930,37
20201005,40
20201006,41
20201007,44
20201008,41
20201011,34
20201012,51
20201014,41
20201019,38
20201020,44
20201021,31
20201022,38
20201025,41
20201026,42
20201102,34
20201103,32
20201104,35
20201105,40
20201108,56
20201109,35
20201117,49
20201118,54
20201119,50
20201122,50
20201123,37
20201201,37
20201202,41
20201203,42
20201206,42
20201207,42
20201215,39
20201216,48
20201220,38
20201221,35
20201229,50
20201230,54
20210103,45
20210104,47
20210112,50
20210113,49
20210117,54
20210126,49
20210127,56
20210131,60
20210209,51
20210210,49
20210214,51
20210223,61
20210224,67
20210228,81
20210309,77
20210310,74
20210314,78
20210323,71
20210324,61
20210328,80
20210406,81
20210407,77
20210411,89
20210420,91
20210421,67
20210425,74
20210504,63
20210505,59
20210509,60
20210518,58
20210519,71
20210523,54
20210601,73
20210602,78
20210606,87
20210615,72
20210616,63
20210620,64
20210629,82
20210630,81
20210704,75
20210713,68
20210714,83
20210718,78
20210727,105
20210728,92
20210801,128
20210810,94
20210811,99
20210815,110
20210824,103
20210825,107
20210829,124
20210907,119
20210908,112
20210912,137
20210921,132
20210926,116
20211010,130
20220222,144
20220227,168
20220308,160
20220313,173
20220322,165
20220327,173
20220405,179
20220410,156
20220419,232
20220424,151
20220503,155
20220508,196
20220517,166
20220522,193
20220531,185
20220605,182
20230604,82
20230618,75
20230702,69
20230716,64
