timestamp,greedy_modularity_communities
20190120,23
20190121,18
20190123,16
20190128,15
20190129,19
20190130,16
20190220,17
20190225,14
20190226,17
20190227,16
20190228,20
20190303,19
20190304,24
20190306,20
20190311,23
20190312,32
20190313,27
20190314,32
20190317,27
20190318,24
20190428,25
20190429,20
20190501,37
20190506,23
20190507,31
20190508,31
20190509,30
20190617,25
20190618,22
20190619,31
20190620,33
20190623,32
20190624,32
20190626,28
20190715,35
20190716,30
20190717,33
20190718,45
20190721,25
20190722,30
20190724,27
20190729,31
20190730,28
20190731,24
20190801,19
20190804,23
20190805,21
20190807,23
20190812,32
20190813,30
20190814,20
20190815,22
20190818,24
20190819,19
20190821,20
20190826,40
20190827,24
20190828,25
20190829,19
20190901,31
20190902,25
20190904,24
20190909,23
20190910,23
20190911,22
20190912,27
20190915,25
20190916,31
20190918,19
20190923,21
20190924,33
20190925,34
20190926,32
20190929,29
20190930,24
20191002,23
20191007,34
20191008,16
20191009,18
20191010,18
20191013,17
20191014,16
20191016,31
20191021,25
20191022,25
20191023,24
20191024,27
20191027,25
20191028,29
20191030,26
20191104,29
20191105,30
20191106,21
20191107,22
20191110,20
20191111,20
20191113,19
20191118,24
20200127,36
20200128,37
20200129,28
20200130,33
20200202,35
20200203,23
20200205,28
20200210,23
20200211,25
20200212,34
20200213,25
20200216,33
20200217,22
20200219,26
20200224,24
20200225,25
20200226,37
20200227,27
20200301,35
20200302,30
20200304,24
20200309,31
20200310,30
20200311,31
20200312,27
20200315,34
20200316,25
20200318,31
20200323,32
20200324,28
20200325,29
20200326,31
20200329,34
20200330,36
20200401,30
20200406,24
20200407,28
20200408,37
20200409,34
20200412,35
20200413,33
20200415,26
20200420,32
20200421,26
20200422,30
20200423,28
20200426,30
20200427,31
20200429,29
20200504,39
20200505,36
20200506,28
20200507,41
20200510,50
20200511,30
20200513,38
20200518,50
20200519,51
20200520,43
20200521,44
20200524,35
20200525,35
20200527,26
20200601,33
20200602,30
20200603,38
20200604,47
20200610,30
20200615,39
20200616,35
20200617,28
20200618,37
20200621,26
20200622,24
20200624,31
20200629,30
20200630,33
20200701,27
20200702,26
20200705,30
20200706,36
20200708,31
20200713,49
20200714,42
20200715,37
20200716,38
20200719,41
20200720,38
20200722,39
20200727,42
20200728,46
20200729,41
20200730,42
20200802,45
20200803,40
20200805,39
20200810,34
20200811,40
20200812,33
20200813,38
20200816,39
20200817,30
20200819,35
20200824,36
20200825,43
20200826,41
20200827,50
20200830,42
20200831,55
20200902,51
20200907,43
20200908,39
20200909,41
20200910,37
20200913,48
20200914,41
20200916,42
20200921,46
20200922,47
20200923,42
20200924,47
20200927,41
20200928,44
20200930,54
20201005,36
20201006,48
20201007,45
20201008,40
20201011,36
20201012,33
20201014,30
20201019,30
20201020,44
20201021,40
20201022,34
20201025,30
20201026,42
20201102,39
20201103,47
20201104,42
20201105,42
20201108,59
20201109,72
20201117,62
20201118,68
20201119,57
20201122,62
20201123,54
20201201,51
20201202,51
20201203,48
20201206,54
20201207,61
20201215,54
20201216,51
20201220,50
20201221,47
20201229,54
20201230,61
20210103,66
20210104,49
20210112,64
20210113,64
20210117,70
20210126,61
20210127,64
20210131,62
20210209,71
20210210,72
20210214,78
20210223,72
20210224,82
20210228,94
20210309,84
20210310,88
20210314,78
20210323,108
20210324,85
20210328,86
20210406,93
20210407,92
20210411,71
20210420,76
20210421,75
20210425,95
20210504,78
20210505,79
20210509,74
20210518,78
20210519,91
20210523,59
20210601,98
20210602,86
20210606,68
20210615,77
20210616,58
20210620,66
20210629,95
20210630,103
20210704,90
20210713,90
20210714,85
20210718,108
20210727,89
20210728,110
20210801,145
20210810,104
20210811,122
20210815,109
20210824,112
20210825,113
20210829,108
20210907,157
20210908,148
20210912,133
20210921,129
20210926,140
20211010,105
20220222,162
20220227,180
20220308,175
20220313,167
20220322,182
20220327,161
20220405,196
20220410,170
20220419,197
20220424,201
20220503,163
20220508,184
20220517,161
20220522,193
20220531,217
20220605,193
20230604,113
20230618,80
20230702,64
20230716,87
