timestamp,greedy_modularity_communities
20190120,16
20190121,14
20190123,14
20190128,11
20190129,11
20190130,15
20190220,18
20190225,14
20190226,16
20190227,16
20190228,15
20190303,21
20190304,21
20190306,19
20190311,32
20190312,32
20190313,31
20190314,32
20190317,28
20190318,41
20190428,14
20190429,14
20190501,16
20190506,14
20190507,16
20190508,16
20190509,18
20190617,33
20190618,38
20190619,24
20190620,24
20190623,17
20190624,18
20190626,16
20190715,19
20190716,17
20190717,18
20190718,21
20190721,22
20190722,23
20190724,16
20190729,18
20190730,25
20190731,22
20190801,22
20190804,29
20190805,22
20190807,20
20190812,19
20190813,18
20190814,22
20190815,24
20190818,16
20190819,14
20190821,21
20190826,23
20190827,24
20190828,21
20190829,23
20190901,22
20190902,28
20190904,20
20190909,14
20190910,16
20190911,14
20190912,14
20190915,20
20190916,18
20190918,16
20190923,20
20190924,17
20190925,20
20190926,20
20190929,18
20190930,22
20191002,22
20191007,14
20191008,18
20191009,16
20191010,20
20191013,24
20191014,27
20191016,26
20191021,33
20191022,31
20191023,43
20191024,44
20191027,35
20191028,40
20191030,39
20191104,30
20191105,28
20191106,30
20191107,30
20191110,32
20191111,32
20191113,32
20191118,32
20200127,43
20200128,40
20200129,42
20200130,40
20200202,33
20200203,27
20200205,24
20200210,22
20200211,24
20200212,24
20200213,26
20200216,20
20200217,23
20200219,25
20200224,30
20200225,34
20200226,30
20200227,30
20200301,32
20200302,31
20200304,31
20200309,27
20200310,29
20200311,30
20200312,29
20200315,27
20200316,28
20200318,14
20200323,29
20200324,28
20200325,29
20200326,27
20200329,29
20200330,30
20200401,30
20200406,29
20200407,28
20200408,27
20200409,28
20200412,38
20200413,31
20200415,29
20200420,12
20200421,12
20200422,13
20200423,13
20200426,13
20200427,14
20200429,13
20200504,13
20200505,13
20200506,13
20200507,15
20200510,43
20200511,43
20200513,28
20200518,27
20200519,26
20200520,28
20200521,26
20200524,30
20200525,23
20200527,26
20200601,21
20200602,23
20200603,22
20200604,25
20200610,29
20200615,27
20200616,29
20200617,30
20200618,31
20200621,29
20200622,30
20200624,29
20200629,28
20200630,32
20200701,31
20200702,29
20200705,26
20200706,27
20200708,29
20200713,31
20200714,32
20200715,31
20200716,29
20200719,32
20200720,27
20200722,30
20200727,28
20200728,27
20200729,27
20200730,29
20200802,29
20200803,27
20200805,27
20200810,30
20200811,30
20200812,31
20200813,32
20200816,29
20200817,31
20200819,31
20200824,29
20200825,28
20200826,28
20200827,28
20200830,28
20200831,29
20200902,31
20200907,30
20200908,28
20200909,27
20200910,29
20200913,26
20200914,24
20200916,30
20200921,30
20200922,27
20200923,30
20200924,47
20200927,36
20200928,41
20200930,30
20201005,23
20201006,26
20201007,24
20201008,26
20201011,26
20201012,23
20201014,24
20201019,29
20201020,28
20201021,26
20201022,26
20201025,29
20201026,27
20201102,30
20201103,27
20201104,27
20201105,30
20201108,33
20201109,32
20201117,30
20201118,35
20201119,28
20201122,28
20201123,30
20201201,35
20201202,39
20201203,33
20201206,35
20201207,34
20201215,25
20201216,26
20201220,23
20201221,25
20201229,30
20201230,31
20210103,30
20210104,31
20210112,74
20210113,77
20210117,77
20210126,40
20210127,39
20210131,33
20210209,44
20210210,50
20210214,50
20210223,57
20210224,68
20210228,63
20210309,62
20210310,60
20210314,86
20210323,46
20210324,55
20210328,75
20210406,82
20210407,68
20210411,41
20210420,53
20210421,52
20210425,48
20210504,46
20210505,46
20210509,43
20210518,47
20210519,41
20210523,43
20210601,48
20210602,47
20210606,43
20210615,49
20210616,46
20210620,44
20210629,48
20210630,52
20210704,47
20210713,48
20210714,50
20210718,53
20210727,55
20210728,58
20210801,92
20210810,75
20210811,82
20210815,80
20210824,88
20210825,89
20210829,85
20210907,115
20210908,86
20210912,98
20210921,92
20210926,106
20211010,99
20220222,113
20220227,107
20220308,105
20220313,113
20220322,122
20220327,129
20220405,116
20220410,94
20220419,96
20220424,107
20220503,120
20220508,128
20220517,132
20220522,133
20220531,128
20220605,130
20230604,51
20230618,49
20230702,37
20230716,48
