timestamp,greedy_modularity_communities
20190120,20
20190121,18
20190123,17
20190128,15
20190129,19
20190130,20
20190220,17
20190225,17
20190226,20
20190227,17
20190228,16
20190303,25
20190304,16
20190306,25
20190311,27
20190312,27
20190313,26
20190314,29
20190317,25
20190318,36
20190428,25
20190429,38
20190501,23
20190506,30
20190507,31
20190508,34
20190509,27
20190617,39
20190618,37
20190619,38
20190620,34
20190623,30
20190624,28
20190626,24
20190715,20
20190716,22
20190717,21
20190718,20
20190721,24
20190722,24
20190724,33
20190729,27
20190730,24
20190731,30
20190801,26
20190804,28
20190805,28
20190807,20
20190812,19
20190813,19
20190814,17
20190815,17
20190818,16
20190819,14
20190821,18
20190826,18
20190827,21
20190828,24
20190829,21
20190901,21
20190902,22
20190904,20
20190909,17
20190910,15
20190911,17
20190912,17
20190915,19
20190916,17
20190918,21
20190923,18
20190924,19
20190925,21
20190926,19
20190929,26
20190930,25
20191002,20
20191007,18
20191008,17
20191009,19
20191010,18
20191013,24
20191014,17
20191016,25
20191021,56
20191022,56
20191023,57
20191024,54
20191027,42
20191028,43
20191030,45
20191104,42
20191105,44
20191106,44
20191107,45
20191110,41
20191111,44
20191113,42
20191118,36
20200127,58
20200128,63
20200129,68
20200130,69
20200202,52
20200203,23
20200205,22
20200210,22
20200211,26
20200212,25
20200213,26
20200216,26
20200217,28
20200219,28
20200224,29
20200225,29
20200226,25
20200227,29
20200301,27
20200302,29
20200304,44
20200309,23
20200310,23
20200311,22
20200312,22
20200315,23
20200316,24
20200318,13
20200323,32
20200324,25
20200325,27
20200326,34
20200329,32
20200330,35
20200401,36
20200406,35
20200407,34
20200408,32
20200409,34
20200412,42
20200413,37
20200415,34
20200420,18
20200421,18
20200422,20
20200423,20
20200426,21
20200427,21
20200429,21
20200504,20
20200505,20
20200506,20
20200507,21
20200510,46
20200511,32
20200513,32
20200518,41
20200519,36
20200520,37
20200521,39
20200524,35
20200525,26
20200527,29
20200601,35
20200602,31
20200603,33
20200604,37
20200610,29
20200615,35
20200616,30
20200617,28
20200618,30
20200621,29
20200622,42
20200624,38
20200629,27
20200630,27
20200701,28
20200702,29
20200705,28
20200706,32
20200708,30
20200713,32
20200714,30
20200715,29
20200716,31
20200719,33
20200720,31
20200722,31
20200727,30
20200728,29
20200729,28
20200730,28
20200802,30
20200803,28
20200805,29
20200810,28
20200811,27
20200812,27
20200813,31
20200816,31
20200817,30
20200819,31
20200824,33
20200825,29
20200826,29
20200827,27
20200830,30
20200831,29
20200902,29
20200907,30
20200908,29
20200909,32
20200910,27
20200913,26
20200914,25
20200916,28
20200921,37
20200922,29
20200923,34
20200924,49
20200927,34
20200928,28
20200930,35
20201005,27
20201006,40
20201007,36
20201008,34
20201011,35
20201012,28
20201014,38
20201019,37
20201020,33
20201021,29
20201022,30
20201025,37
20201026,32
20201102,27
20201103,28
20201104,29
20201105,31
20201108,34
20201109,34
20201117,34
20201118,36
20201119,31
20201122,34
20201123,39
20201201,28
20201202,37
20201203,36
20201206,36
20201207,32
20201215,37
20201216,31
20201220,31
20201221,32
20201229,38
20201230,34
20210103,33
20210104,30
20210112,105
20210113,107
20210117,108
20210126,39
20210127,39
20210131,31
20210209,47
20210210,47
20210214,50
20210223,49
20210224,51
20210228,81
20210309,61
20210310,55
20210314,57
20210323,62
20210324,49
20210328,84
20210406,69
20210407,98
20210411,45
20210420,52
20210421,51
20210425,48
20210504,46
20210505,45
20210509,42
20210518,47
20210519,42
20210523,44
20210601,46
20210602,45
20210606,45
20210615,49
20210616,47
20210620,50
20210629,54
20210630,55
20210704,54
20210713,53
20210714,53
20210718,58
20210727,54
20210728,61
20210801,67
20210810,73
20210811,111
20210815,95
20210824,119
20210825,121
20210829,114
20210907,116
20210908,91
20210912,102
20210921,114
20210926,120
20211010,110
20220222,102
20220227,103
20220308,109
20220313,107
20220322,127
20220327,131
20220405,115
20220410,94
20220419,92
20220424,112
20220503,124
20220508,130
20220517,134
20220522,138
20220531,133
20220605,126
20230604,44
20230618,51
20230702,33
20230716,36
