timestamp,greedy_modularity_communities
20190120,16
20190121,11
20190123,14
20190128,14
20190129,14
20190130,14
20190220,13
20190225,13
20190226,15
20190227,16
20190228,16
20190303,19
20190304,17
20190306,16
20190311,25
20190312,19
20190313,25
20190314,27
20190317,26
20190318,26
20190428,22
20190429,22
20190501,28
20190506,25
20190507,27
20190508,24
20190509,27
20190617,24
20190618,34
20190619,39
20190620,32
20190623,36
20190624,21
20190626,24
20190715,17
20190716,23
20190717,18
20190718,23
20190721,22
20190722,21
20190724,27
20190729,22
20190730,18
20190731,27
20190801,24
20190804,40
20190805,21
20190807,22
20190812,31
20190813,20
20190814,32
20190815,25
20190818,29
20190819,18
20190821,22
20190826,24
20190827,23
20190828,23
20190829,24
20190901,25
20190902,30
20190904,37
20190909,32
20190910,20
20190911,20
20190912,25
20190915,20
20190916,22
20190918,24
20190923,17
20190924,28
20190925,26
20190926,17
20190929,20
20190930,27
20191002,22
20191007,15
20191008,27
20191009,17
20191010,18
20191013,18
20191014,21
20191016,27
20191021,20
20191022,22
20191023,21
20191024,20
20191027,23
20191028,27
20191030,23
20191104,25
20191105,17
20191106,18
20191107,24
20191110,18
20191111,18
20191113,18
20191118,23
20200127,28
20200128,30
20200129,39
20200130,29
20200202,27
20200203,24
20200205,28
20200210,26
20200211,28
20200212,28
20200213,33
20200216,21
20200217,22
20200219,37
20200224,25
20200225,23
20200226,19
20200227,22
20200301,24
20200302,22
20200304,22
20200309,31
20200310,20
20200311,28
20200312,31
20200315,23
20200316,21
20200318,29
20200323,27
20200324,34
20200325,30
20200326,28
20200329,34
20200330,25
20200401,27
20200406,31
20200407,27
20200408,28
20200409,36
20200412,23
20200413,24
20200415,26
20200420,23
20200421,30
20200422,39
20200423,23
20200426,21
20200427,22
20200429,22
20200504,29
20200505,22
20200506,26
20200507,38
20200510,39
20200511,33
20200513,28
20200518,26
20200519,28
20200520,28
20200521,28
20200524,24
20200525,28
20200527,25
20200601,26
20200602,29
20200603,26
20200604,35
20200610,24
20200615,26
20200616,25
20200617,26
20200618,27
20200621,25
20200622,29
20200624,27
20200629,27
20200630,25
20200701,32
20200702,29
20200705,27
20200706,27
20200708,26
20200713,26
20200714,31
20200715,24
20200716,24
20200719,27
20200720,29
20200722,23
20200727,27
20200728,28
20200729,23
20200730,31
20200802,25
20200803,33
20200805,31
20200810,29
20200811,26
20200812,25
20200813,28
20200816,26
20200817,27
20200819,28
20200824,27
20200825,38
20200826,34
20200827,30
20200830,39
20200831,33
20200902,41
20200907,34
20200908,35
20200909,37
20200910,36
20200913,41
20200914,41
20200916,34
20200921,42
20200922,34
20200923,45
20200924,39
20200927,42
20200928,34
20200930,34
20201005,34
20201006,30
20201007,27
20201008,30
20201011,29
20201012,28
20201014,27
20201019,37
20201020,36
20201021,33
20201022,45
20201025,34
20201026,40
20201102,29
20201103,38
20201104,28
20201105,29
20201108,38
20201109,48
20201117,47
20201118,57
20201119,50
20201122,42
20201123,58
20201201,54
20201202,48
20201203,57
20201206,50
20201207,44
20201215,35
20201216,38
20201220,56
20201221,42
20201229,49
20201230,44
20210103,43
20210104,47
20210112,46
20210113,49
20210117,49
20210126,51
20210127,49
20210131,62
20210209,64
20210210,57
20210214,56
20210223,72
20210224,75
20210228,81
20210309,67
20210310,75
20210314,63
20210323,67
20210324,74
20210328,89
20210406,79
20210407,74
20210411,69
20210420,74
20210421,66
20210425,73
20210504,61
20210505,72
20210509,70
20210518,71
20210519,66
20210523,55
20210601,59
20210602,59
20210606,64
20210615,58
20210616,62
20210620,93
20210629,87
20210630,92
20210704,92
20210713,71
20210714,82
20210718,100
20210727,96
20210728,91
20210801,88
20210810,119
20210811,131
20210815,108
20210824,118
20210825,131
20210829,121
20210907,117
20210908,128
20210912,107
20210921,98
20210926,119
20211010,114
20220222,159
20220227,170
20220308,166
20220313,197
20220322,161
20220327,168
20220405,169
20220410,159
20220419,160
20220424,181
20220503,192
20220508,151
20220517,151
20220522,180
20220531,183
20220605,182
20230604,75
20230618,79
20230702,68
20230716,74
