timestamp,greedy_modularity_communities
20190120,22
20190121,21
20190123,20
20190128,19
20190129,16
20190130,19
20190220,22
20190225,22
20190226,18
20190227,24
20190228,22
20190303,25
20190304,21
20190306,18
20190311,25
20190312,23
20190313,24
20190314,26
20190317,25
20190318,31
20190428,36
20190429,20
20190501,23
20190506,27
20190507,34
20190508,27
20190509,32
20190617,21
20190618,21
20190619,25
20190620,30
20190623,36
20190624,35
20190626,29
20190715,23
20190716,20
20190717,34
20190718,30
20190721,31
20190722,27
20190724,33
20190729,39
20190730,29
20190731,26
20190801,33
20190804,28
20190805,30
20190807,34
20190812,37
20190813,26
20190814,29
20190815,34
20190818,35
20190819,23
20190821,24
20190826,22
20190827,25
20190828,28
20190829,27
20190901,27
20190902,30
20190904,30
20190909,33
20190910,31
20190911,33
20190912,26
20190915,18
20190916,17
20190918,20
20190923,23
20190924,26
20190925,31
20190926,40
20190929,31
20190930,34
20191002,27
20191007,32
20191008,41
20191009,32
20191010,29
20191013,30
20191014,28
20191016,24
20191021,29
20191022,37
20191023,27
20191024,27
20191027,28
20191028,23
20191030,26
20191104,26
20191105,28
20191106,20
20191107,29
20191110,32
20191111,31
20191113,26
20191118,26
20200127,23
20200128,25
20200129,43
20200130,45
20200202,32
20200203,25
20200205,27
20200210,25
20200211,26
20200212,29
20200213,22
20200216,38
20200217,21
20200219,24
20200224,28
20200225,30
20200226,23
20200227,25
20200301,27
20200302,23
20200304,25
20200309,22
20200310,32
20200311,28
20200312,24
20200315,21
20200316,23
20200318,25
20200323,24
20200324,29
20200325,29
20200326,24
20200329,28
20200330,29
20200401,28
20200406,30
20200407,28
20200408,26
20200409,24
20200412,29
20200413,30
20200415,30
20200420,32
20200421,35
20200422,34
20200423,31
20200426,36
20200427,37
20200429,46
20200504,30
20200505,30
20200506,27
20200507,30
20200510,41
20200511,35
20200513,40
20200518,40
20200519,37
20200520,36
20200521,43
20200524,38
20200525,32
20200527,30
20200601,36
20200602,41
20200603,27
20200604,44
20200610,24
20200615,24
20200616,31
20200617,35
20200618,36
20200621,32
20200622,23
20200624,29
20200629,29
20200630,28
20200701,32
20200702,33
20200705,29
20200706,36
20200708,36
20200713,36
20200714,41
20200715,45
20200716,32
20200719,33
20200720,33
20200722,34
20200727,35
20200728,39
20200729,39
20200730,39
20200802,34
20200803,38
20200805,35
20200810,33
20200811,32
20200812,31
20200813,29
20200816,35
20200817,35
20200819,35
20200824,43
20200825,52
20200826,45
20200827,50
20200830,41
20200831,44
20200902,35
20200907,42
20200908,40
20200909,38
20200910,46
20200913,44
20200914,40
20200916,42
20200921,43
20200922,43
20200923,53
20200924,53
20200927,33
20200928,31
20200930,37
20201005,49
20201006,33
20201007,37
20201008,34
20201011,33
20201012,37
20201014,33
20201019,35
20201020,30
20201021,32
20201022,36
20201025,30
20201026,35
20201102,30
20201103,40
20201104,37
20201105,40
20201108,45
20201109,54
20201117,60
20201118,61
20201119,60
20201122,63
20201123,41
20201201,39
20201202,49
20201203,48
20201206,51
20201207,53
20201215,53
20201216,54
20201220,55
20201221,60
20201229,59
20201230,58
20210103,64
20210104,52
20210112,63
20210113,71
20210117,63
20210126,75
20210127,62
20210131,70
20210209,79
20210210,75
20210214,60
20210223,77
20210224,82
20210228,82
20210309,75
20210310,69
20210314,87
20210323,78
20210324,81
20210328,91
20210406,77
20210407,78
20210411,92
20210420,110
20210421,88
20210425,85
20210504,76
20210505,76
20210509,63
20210518,75
20210519,64
20210523,55
20210601,59
20210602,57
20210606,63
20210615,66
20210616,64
20210620,94
20210629,101
20210630,100
20210704,103
20210713,81
20210714,83
20210718,96
20210727,93
20210728,114
20210801,94
20210810,135
20210811,125
20210815,116
20210824,132
20210825,135
20210829,124
20210907,138
20210908,138
20210912,135
20210921,137
20210926,130
20211010,103
20220222,185
20220227,183
20220308,214
20220313,195
20220322,188
20220327,205
20220405,163
20220410,173
20220419,182
20220424,185
20220503,208
20220508,174
20220517,177
20220522,177
20220531,196
20220605,198
20230604,71
20230618,102
20230702,71
20230716,81
