timestamp,greedy_modularity_communities
20190120,21
20190121,14
20190123,15
20190128,17
20190129,18
20190130,17
20190220,10
20190225,23
20190226,17
20190227,20
20190228,20
20190303,27
20190304,13
20190306,25
20190311,13
20190312,13
20190313,12
20190314,13
20190317,15
20190318,13
20190428,7
20190429,7
20190501,7
20190506,6
20190507,6
20190508,6
20190509,6
20190617,14
20190618,14
20190619,14
20190620,14
20190623,12
20190624,12
20190626,12
20190715,10
20190716,10
20190717,11
20190718,12
20190721,13
20190722,13
20190724,11
20190729,12
20190730,12
20190731,13
20190801,12
20190804,12
20190805,12
20190807,15
20190812,13
20190813,14
20190814,13
20190815,14
20190818,13
20190819,13
20190821,13
20190826,12
20190827,14
20190828,14
20190829,14
20190901,16
20190902,17
20190904,17
20190909,17
20190910,16
20190911,16
20190912,18
20190915,16
20190916,18
20190918,18
20190923,23
20190924,23
20190925,23
20190926,24
20190929,24
20190930,23
20191002,18
20191007,17
20191008,16
20191009,15
20191010,14
20191013,14
20191014,9
20191016,15
20191021,15
20191022,14
20191023,14
20191024,16
20191027,17
20191028,17
20191030,16
20191104,14
20191105,13
20191106,14
20191107,15
20191110,15
20191111,15
20191113,14
20191118,11
20200127,14
20200128,14
20200129,14
20200130,16
20200202,14
20200203,11
20200205,13
20200210,15
20200211,16
20200212,16
20200213,15
20200216,16
20200217,17
20200219,12
20200224,14
20200225,13
20200226,13
20200227,13
20200301,12
20200302,12
20200304,13
20200309,13
20200310,13
20200311,13
20200312,13
20200315,11
20200316,12
20200318,14
20200323,14
20200324,14
20200325,14
20200326,16
20200329,16
20200330,16
20200401,16
20200406,14
20200407,13
20200408,13
20200409,13
20200412,15
20200413,15
20200415,14
20200420,12
20200421,12
20200422,14
20200423,14
20200426,15
20200427,16
20200429,14
20200504,15
20200505,15
20200506,15
20200507,16
20200510,17
20200511,18
20200513,19
20200518,16
20200519,16
20200520,16
20200521,17
20200524,18
20200525,18
20200527,17
20200601,16
20200602,16
20200603,17
20200604,21
20200610,17
20200615,19
20200616,22
20200617,22
20200618,23
20200621,23
20200622,16
20200624,18
20200629,20
20200630,25
20200701,24
20200702,24
20200705,25
20200706,23
20200708,25
20200713,22
20200714,21
20200715,21
20200716,19
20200719,19
20200720,19
20200722,21
20200727,22
20200728,22
20200729,21
20200730,23
20200802,25
20200803,23
20200805,33
20200810,32
20200811,33
20200812,32
20200813,25
20200816,26
20200817,24
20200819,25
20200824,25
20200825,25
20200826,25
20200827,24
20200830,27
20200831,24
20200902,22
20200907,21
20200908,21
20200909,20
20200910,18
20200913,17
20200914,17
20200916,17
20200921,23
20200922,21
20200923,24
20200924,19
20200927,22
20200928,23
20200930,24
20201005,22
20201006,33
20201007,33
20201008,32
20201011,36
20201012,34
20201014,31
20201019,34
20201020,33
20201021,30
20201022,43
20201025,29
20201026,31
20201102,33
20201103,32
20201104,35
20201105,39
20201108,45
20201109,43
20201117,39
20201118,41
20201119,25
20201122,26
20201123,26
20201201,32
20201202,32
20201203,32
20201206,35
20201207,37
20201215,27
20201216,26
20201220,29
20201221,32
20201229,34
20201230,35
20210103,35
20210104,31
20210112,31
20210113,28
20210117,28
20210126,36
20210127,35
20210131,39
20210209,40
20210210,44
20210214,41
20210223,54
20210224,60
20210228,36
20210309,58
20210310,35
20210314,41
20210323,61
20210324,37
20210328,43
20210406,44
20210407,45
20210411,45
20210420,51
20210421,49
20210425,50
20210504,53
20210505,47
20210509,50
20210518,56
20210519,54
20210523,51
20210601,55
20210602,51
20210606,53
20210615,56
20210616,57
20210620,60
20210629,65
20210630,67
20210704,61
20210713,54
20210714,53
20210718,62
20210727,68
20210728,73
20210801,63
20210810,76
20210811,82
20210815,84
20210824,98
20210825,98
20210829,100
20210907,108
20210908,108
20210912,99
20210921,101
20210926,97
20211010,108
20220222,114
20220227,120
20220308,116
20220313,124
20220322,135
20220327,134
20220405,138
20220410,143
20220419,146
20220424,142
20220503,159
20220508,155
20220517,160
20220522,166
20220531,166
20220605,166
20230604,70
20230618,65
20230702,61
20230716,64
