timestamp,information_centrality
20190120,4.9911613243921455e-11
20190121,3.990169868712829e-11
20190123,3.9900234143177376e-11
20190128,3.9895133911351585e-11
20190129,3.9894305870559516e-11
20190130,3.9888171188981717e-11
20190220,4.994230920315656e-11
20190225,9.990136197597147e-11
20190226,9.990077879259698e-11
20190227,9.990248501286947e-11
20190228,9.99049657966208e-11
20190303,8.879492103055409e-11
20190304,9.99190753204231e-11
20190306,4.9960393163897646e-11
20190311,4.995981807190008e-11
20190312,4.995965579002287e-11
20190313,4.995942058146558e-11
20190314,4.995912905983075e-11
20190317,4.995825642550966e-11
20190318,4.995812482629846e-11
20190428,3.9964350524075005e-11
20190429,3.9964356850115e-11
20190501,3.996431888555426e-11
20190506,9.992634497210162e-11
20190507,9.992609352459237e-11
20190508,9.99258469999306e-11
20190509,9.992511362514795e-11
20190617,8.325765029391868e-11
20190618,8.32571196004749e-11
20190619,8.325671509297385e-11
20190620,8.32574178474676e-11
20190623,7.992796223791728e-11
20190624,7.992793072629247e-11
20190626,9.99212597798522e-11
20190715,2.53340493114658e-12
20190716,2.538979398250548e-12
20190717,2.365717126318524e-12
20190718,2.365801017472656e-12
20190721,2.3465770562246482e-12
20190722,2.2366599409579925e-12
20190724,2.1977469751395272e-12
20190729,1.915125807503036e-12
20190730,2.1297964380173357e-12
20190731,2.816382825431595e-12
20190801,2.8541102832559604e-12
20190804,3.0306256985378835e-12
20190805,3.0530926773749484e-12
20190807,2.8611067275285225e-12
20190812,6.228351646777982e-12
20190813,6.534738197338789e-12
20190814,6.994745115430155e-12
20190815,1.547579046509075e-11
20190818,1.8152350058702074e-11
20190819,3.592655002290602e-12
20190821,3.4663856106424436e-12
20190826,3.298818362769614e-12
20190827,3.192119597592993e-12
20190828,1.5475778114465825e-11
20190829,1.547582141939768e-11
20190901,1.0277155399605855e-11
20190902,1.012331541939525e-11
20190904,1.3768638598787422e-11
20190909,1.4257556763398464e-11
20190910,1.3606716549795407e-11
20190911,1.575838665963746e-11
20190912,1.8716481630518314e-11
20190915,1.4970217238142006e-11
20190916,1.4970304943148202e-11
20190918,1.376305232082479e-11
20190923,1.3960916136457578e-11
20190924,1.3684366345914991e-11
20190925,1.3748951023960202e-11
20190926,1.3748868659558606e-11
20190929,1.4017536501708832e-11
20190930,1.4240000222011495e-11
20191002,1.4664649563685314e-11
20191007,1.3094522236385554e-11
20191008,1.157455949083209e-11
20191009,1.1574539363553052e-11
20191010,1.2477810729808988e-11
20191013,1.4262535814360312e-11
20191014,1.42625969097681e-11
20191016,1.3092725773937184e-11
20191021,1.3048062965107051e-11
20191022,1.40921447432632e-11
20191023,1.3863831099383144e-11
20191024,1.3128640715475132e-11
20191027,1.0845650085157851e-11
20191028,9.780363733849485e-12
20191030,1.0845722328120335e-11
20191104,1.3864072875351331e-11
20191105,1.2170651437740792e-11
20191106,1.3863872272468381e-11
20191107,1.3395843069101653e-11
20191110,1.547581385703726e-11
20191111,1.547578400839168e-11
20191113,1.1807889623777306e-11
20191118,1.0554876595964849e-11
20200127,4.959586366501353e-12
20200128,4.9595737607267225e-12
20200129,4.959614580491623e-12
20200130,4.95942461562831e-12
20200202,4.334400142675763e-12
20200203,3.969379349561887e-12
20200205,3.004684323932069e-12
20200210,2.705540403413699e-12
20200211,2.5868746062732433e-12
20200212,2.58700432546118e-12
20200213,2.5870812433627115e-12
20200216,2.4888158275265795e-12
20200217,2.4773768708267748e-12
20200219,2.5166180531199616e-12
20200224,2.4425750686465944e-12
20200225,2.383388104901043e-12
20200226,2.3834214408567183e-12
20200227,2.3934883241632446e-12
20200301,2.2331428381715292e-12
20200302,2.2559772161417974e-12
20200304,2.364517109305997e-12
20200309,2.383521675115989e-12
20200310,2.3835136796570054e-12
20200311,2.3130464957063313e-12
20200312,2.313001012798581e-12
20200315,2.3780469613073597e-12
20200316,2.581786648780995e-12
20200318,2.515853115441298e-12
20200323,3.4349186746924933e-12
20200324,3.3194924264532063e-12
20200325,3.31953327266897e-12
20200326,2.2824417291518524e-12
20200329,2.291085673639765e-12
20200330,2.3370733346174195e-12
20200401,2.3939434793017736e-12
20200406,2.498694707281977e-12
20200407,2.4987103105478886e-12
20200408,2.498721838444843e-12
20200409,2.494625385762475e-12
20200412,2.5929952194064783e-12
20200413,2.6278419624859995e-12
20200415,2.6997768021132423e-12
