timestamp,information_centrality
20190120,7.93535382703934e-06
20190121,7.491836938387078e-06
20190123,7.49354649218694e-06
20190128,7.73427291106744e-06
20190129,7.74975138424704e-06
20190130,7.342777294486559e-06
20190220,1.33929733055843e-06
20190225,1.6975068456907117e-06
20190226,1.6672320730004e-06
20190227,1.700062012445172e-06
20190228,1.7895185274711754e-06
20190303,2.1842453547018818e-06
20190304,2.21422466267275e-06
20190306,2.2648990399765707e-06
20190311,2.262459877938197e-06
20190312,2.2666239417144993e-06
20190313,2.248474950435467e-06
20190314,2.2025763268752093e-06
20190317,2.1332164998769027e-06
20190318,2.13846571994345e-06
20190428,1.9778387971018506e-06
20190429,1.9775229550660403e-06
20190501,1.9584417426842923e-06
20190506,1.7801023063212157e-06
20190507,1.7661716055106382e-06
20190508,1.752789466551304e-06
20190509,1.728631193875235e-06
20190617,1.990423053551993e-06
20190618,1.9496389201997673e-06
20190619,1.91275992446874e-06
20190620,1.9239199020324463e-06
20190623,1.884733919869925e-06
20190624,1.892333159964339e-06
20190626,1.8577052172506072e-06
20190715,6.850625958188005e-07
20190716,6.883365838986649e-07
20190717,6.579577849450465e-07
20190718,6.551954411415936e-07
20190721,6.520128385568234e-07
20190722,6.360411870997697e-07
20190724,6.019098369055194e-07
20190729,5.805341489021979e-07
20190730,6.161599049047168e-07
20190731,7.405568992878404e-07
20190801,7.832719474976545e-07
20190804,8.122824220852399e-07
20190805,8.154331972207269e-07
20190807,7.534566894066393e-07
20190812,1.050582712818007e-06
20190813,1.0961531918631798e-06
20190814,1.1508025145814876e-06
20190815,1.4594385731903995e-06
20190818,1.5258305882784607e-06
20190819,6.563944863984576e-07
20190821,6.468911369939346e-07
20190826,6.193808755252871e-07
20190827,6.063666646963312e-07
20190828,1.26257725199739e-06
20190829,1.272539498342819e-06
20190901,1.2104484577036277e-06
20190902,1.1945094349200733e-06
20190904,1.3714050135162304e-06
20190909,1.3841657920456938e-06
20190910,1.3142506136371733e-06
20190911,1.4088111238281701e-06
20190912,1.5213668728377485e-06
20190915,1.4363286975422567e-06
20190916,1.461675995518975e-06
20190918,1.4223576002250159e-06
20190923,1.5822998989528502e-06
20190924,1.5890815474881136e-06
20190925,1.6454737433363599e-06
20190926,1.6416692153094204e-06
20190929,1.6276795516593105e-06
20190930,1.6177708637364383e-06
20191002,1.6065313453554704e-06
20191007,1.579298477364767e-06
20191008,1.5460433457761252e-06
20191009,1.5454945343624866e-06
20191010,1.5580721664908683e-06
20191013,1.5882703680543782e-06
20191014,1.5570464288863604e-06
20191016,1.2970946850214311e-06
20191021,1.2605654738476973e-06
20191022,1.2789298462606242e-06
20191023,1.2891919648655376e-06
20191024,1.284323731196854e-06
20191027,1.258524899329326e-06
20191028,1.264465017334255e-06
20191030,1.2824423573086254e-06
20191104,1.2552804235956318e-06
20191105,1.1946676521312411e-06
20191106,1.2213215244048208e-06
20191107,1.1667437295712444e-06
20191110,1.1942522947175505e-06
20191111,1.192295193506421e-06
20191113,1.2496053769720733e-06
20191118,1.1540248750127815e-06
20200127,1.9987644686582726e-10
20200128,1.998771060052565e-10
20200129,1.9987725884729994e-10
20200130,1.99877596299836e-10
20200202,1.998567594489109e-10
20200203,1.9984715291391758e-10
20200205,1.998229854377737e-10
20200210,5.023169993260439e-07
20200211,4.695239265099492e-07
20200212,4.7113580322475637e-07
20200213,4.709486962882958e-07
20200216,4.5040234113933536e-07
20200217,4.4052696070631004e-07
20200219,4.454334332712712e-07
20200224,4.1937049645412017e-07
20200225,4.1435426459879995e-07
20200226,4.141873014704834e-07
20200227,4.139514581493263e-07
20200301,3.786225174560722e-07
20200302,3.8568036329491733e-07
20200304,4.0533892147220933e-07
20200309,4.0505400807493327e-07
20200310,4.059590119844766e-07
20200311,3.927657429854029e-07
20200312,3.927249830407159e-07
20200315,3.986384750108763e-07
20200316,4.2239287093361877e-07
20200318,4.1605544612641366e-07
20200323,5.636686104990771e-07
20200324,5.614093352966629e-07
20200325,5.611594428907879e-07
20200326,3.189833251942077e-07
20200329,3.244516808722781e-07
20200330,3.274598622753695e-07
20200401,3.2956882290868257e-07
20200406,3.3054331566763227e-07
20200407,3.3147875016039217e-07
20200408,3.317304235291027e-07
20200409,3.319340597286983e-07
20200412,3.406587868588779e-07
20200413,3.4262622705172774e-07
20200415,3.490578721080558e-07
20200420,3.5360361183846263e-07
20200421,3.5173795737086316e-07
20200422,3.529779098631959e-07
20200423,3.512843254444899e-07
20200426,2.9943999123940686e-10
20200427,2.994432619583347e-10
20200429,3.2674559713513945e-07
20200504,3.263929911079018e-07
20200505,3.243867899344989e-07
20200506,3.070650882353593e-07
20200507,3.067275170377457e-07
20200510,3.03473565127388e-07
20200511,2.8832686165620583e-07
20200513,2.845903168646274e-07
20200518,2.9894336854323494e-07
20200519,2.99291611811485e-07
20200520,2.9258162180985656e-07
20200521,2.896546988584279e-07
20200524,2.1655947922160168e-07
20200525,2.6533764950173575e-07
20200527,2.662227820702352e-07
20200601,9.990144604616073e-11
20200602,9.990098816672402e-11
20200603,9.990094873912893e-11
20200604,9.989936555412457e-11
20200610,1.9023129691163223e-07
20200615,9.989104085490532e-11
20200616,9.989115782644619e-11
20200617,9.989117787384953e-11
20200618,9.989120912086671e-11
20200621,9.98903249986335e-11
20200622,9.989045497196199e-11
20200624,9.988918856966426e-11
20200629,4.995897537046132e-11
20200630,4.9958533404105486e-11
20200701,4.995859830294627e-11
20200702,4.995827755454223e-11
20200705,4.9958599035538646e-11
20200706,3.33055723601373e-11
20200708,3.330542575521178e-11
20200713,9.98840490890514e-11
20200714,9.990294846658051e-11
20200715,9.990294551002696e-11
20200716,9.990342970098389e-11
20200719,3.996642419848936e-11
20200720,9.990187376432218e-11
20200722,9.990079976812551e-11
20200727,4.9961920601791775e-11
20200728,4.9961954635765395e-11
20200729,4.996195154804485e-11
20200730,2.2042019565067557e-07
20200802,2.203799428740912e-07
20200803,2.2189548579940037e-07
20200805,4.996272670852932e-11
20200810,4.9963284982184434e-11
20200811,4.996529891037987e-11
20200812,4.9965178273105355e-11
20200813,4.996511648422485e-11
20200816,4.996427881000307e-11
20200817,4.996435909574869e-11
20200819,4.99638259529772e-11
20200824,3.330731538230528e-11
20200825,4.9965623324409906e-11
20200826,4.99660194132524e-11
20200827,4.9966074531546654e-11
20200830,2.942482818292956e-11
20200831,3.331024922838907e-11
20200902,4.11651434303165e-11
20200907,5.0095478007946266e-11
20200908,3.250894989843382e-11
20200909,5.535267191922093e-11
20200910,4.1477884033537826e-11
20200913,3.121351130112331e-11
20200914,5.0598972954924983e-11
20200916,1.4403173901353564e-10
20200921,9.993045736078803e-11
20200922,1.0338126543760412e-10
20200923,9.993039689686083e-11
20200924,9.992966894513578e-11
20200927,1.4288622961053213e-10
20200928,1.6376105625192468e-10
20200930,1.0587682003296731e-10
20201005,1.1348764739272322e-10
20201006,4.856300221801919e-07
20201007,4.017850968353592e-09
20201008,4.329861117090287e-09
20201011,5.4218889297125566e-09
20201012,4.429484319198513e-09
20201014,9.995364589453079e-11
20201019,4.213951212300313e-09
20201020,4.272164579942952e-09
20201021,1.3339193475656455e-10
20201022,1.1907887917601757e-10
20201025,1.2418610358170685e-10
20201026,1.167878613228281e-10
20201102,1.0937043868471788e-10
20201103,1.153811380203682e-10
20201104,1.3046784863632199e-10
20201105,1.4562738587242504e-07
20201108,1.2675538331462662e-07
20201109,1.2558924290681315e-07
20201117,1.3362593468479544e-07
20201118,1.3303156650646862e-07
20201119,1.3409253987583723e-07
20201122,1.327045638673046e-07
20201123,1.3258595787999465e-07
20201201,9.981961910740469e-11
20201202,9.981855826048774e-11
20201203,9.981812688500943e-11
20201206,9.981872451171221e-11
20201207,9.981857279568527e-11
20201215,4.994290567118531e-11
20201216,4.994275966737504e-11
20201220,3.329900069099261e-11
20201221,4.994251361034198e-11
20201229,4.9948132766282904e-11
20201230,4.994839266798761e-11
20210103,4.995040581160261e-11
20210104,4.9950168449514967e-11
20210112,4.9948436571422495e-11
20210113,4.994844059009238e-11
20210117,4.994635659562891e-11
20210126,4.9948885967612676e-11
20210127,4.994898869608043e-11
20210131,9.983899220927155e-11
20210209,6.657164231649365e-11
20210210,6.6571776962165e-11
20210214,6.657292283253794e-11
20210223,9.981549162050713e-11
20210224,9.981552235575601e-11
20210228,9.98148372223044e-11
20210309,9.985367214851109e-11
20210310,9.985469097365e-11
20210314,9.985698418053308e-11
20210323,9.985197618164814e-11
20210324,9.984696073206062e-11
20210328,9.982888605498709e-11
20210406,4.993376663465268e-11
20210407,4.993150524498033e-11
20210411,4.9931150892571586e-11
20210420,3.32998602082337e-11
20210421,3.329990085598584e-11
20210425,3.3299859539791016e-11
20210504,4.994789033808358e-11
20210505,4.994788594502204e-11
20210509,9.982509843871803e-11
20210518,9.982875295428695e-11
20210519,9.982870634192875e-11
20210523,9.98273583061787e-11
20210601,9.983034789145188e-11
20210602,9.983038556590925e-11
20210606,9.983230011490221e-11
20210615,9.983165983524163e-11
20210616,9.983144900449351e-11
20210620,9.983064950319237e-11
20210629,9.982959714382939e-11
20210630,9.98308812874172e-11
20210704,9.983016263572736e-11
20210713,9.983861263809701e-11
20210714,9.983814486175492e-11
20210718,9.983413567725832e-11
20210727,9.98422800086489e-11
20210728,9.984193569688538e-11
20210801,9.983678153101397e-11
20210810,9.983975791091688e-11
20210811,9.983919642823367e-11
20210815,9.983313367405477e-11
20210824,9.982441593930582e-11
20210825,9.982409629742287e-11
20210829,4.995133433575728e-11
20210907,4.996106870314152e-11
20210908,4.99608465170927e-11
20210912,4.996078542081824e-11
20210921,3.3311995115454135e-11
20210926,3.331092198040736e-11
20211010,3.3311487451450904e-11
20220222,4.982873378322319e-11
20220227,4.982577068037391e-11
20220308,4.9827727676133934e-11
20220313,4.9826007583899046e-11
20220322,4.979464589259863e-11
20220327,4.9773078699118526e-11
20220405,4.9773536993900764e-11
20220410,4.980944677315304e-11
20220419,4.9811091437285053e-11
20220424,4.981333457175662e-11
20220503,4.995947466508964e-11
20220508,4.9961488893736296e-11
20220517,4.9963713141722475e-11
20220522,4.9964135732196675e-11
20220531,9.985913739453602e-11
20220605,9.985661963838257e-11
20230604,4.996664212935916e-11
20230618,9.988361590820356e-11
20230702,4.996728264890986e-11
20230716,9.988268747696183e-11
