timestamp,min_edge_cover
20190120,906
20190121,982
20190123,969
20190128,932
20190129,930
20190130,881
20190220,2099
20190225,2333
20190226,2378
20190227,2399
20190228,2370
20190303,2436
20190304,2458
20190306,2565
20190311,2534
20190312,2522
20190313,2515
20190314,2521
20190317,2497
20190318,2492
20190428,3022
20190429,3022
20190501,3030
20190506,3001
20190507,3001
20190508,3003
20190509,3003
20190617,3178
20190618,3174
20190619,3180
20190620,3217
20190623,3214
20190624,3209
20190626,3189
20190715,3266
20190716,3281
20190717,3291
20190718,3305
20190721,3298
20190722,3304
20190724,3314
20190729,3346
20190730,3343
20190731,3338
20190801,3335
20190804,3485
20190805,3497
20190807,3512
20190812,3541
20190813,3557
20190814,3549
20190815,3542
20190818,3511
20190819,3507
20190821,3502
20190826,3530
20190827,3530
20190828,3539
20190829,3542
20190901,3538
20190902,3540
20190904,3587
20190909,3596
20190910,3599
20190911,3614
20190912,3598
20190915,3567
20190916,3575
20190918,3590
20190923,3606
20190924,3608
20190925,3609
20190926,3603
20190929,3605
20190930,3597
20191002,3577
20191007,3568
20191008,3549
20191009,3554
20191010,3552
20191013,3404
20191014,3422
20191016,3464
20191021,3485
20191022,3492
20191023,3499
20191024,3499
20191027,3520
20191028,3527
20191030,3534
20191104,3541
20191105,3520
20191106,3522
20191107,3526
20191110,3524
20191111,3522
20191113,3509
20191118,3370
20200127,2962
20200128,2964
20200129,2970
20200130,2944
20200202,3626
20200203,3787
20200205,3809
20200210,3835
20200211,3824
20200212,3849
20200213,3859
20200216,3887
20200217,3900
20200219,3904
20200224,3875
20200225,3881
20200226,3887
20200227,3893
20200301,3905
20200302,3950
20200304,3945
20200309,3976
20200310,3975
20200311,3970
20200312,3967
20200315,3948
20200316,3959
20200318,3965
20200323,3782
20200324,3789
20200325,3795
20200326,4024
20200329,4081
20200330,4098
20200401,4096
20200406,4100
20200407,4100
20200408,4102
20200409,4105
20200412,4114
20200413,4120
20200415,4112
20200420,4142
20200421,4207
20200422,4224
20200423,4226
20200426,4297
20200427,4315
20200429,4323
20200504,4365
20200505,4365
20200506,4336
20200507,4358
20200510,4429
20200511,4439
20200513,4407
20200518,4408
20200519,4409
20200520,4417
20200521,4451
20200524,4470
20200525,4477
20200527,4479
20200601,4437
20200602,4444
20200603,4455
20200604,3971
20200610,4271
20200615,4609
20200616,4618
20200617,4623
20200618,4628
20200621,4647
20200622,4657
20200624,4604
20200629,4649
20200630,4630
20200701,4643
20200702,4649
20200705,4695
20200706,4696
20200708,4712
20200713,4725
20200714,4721
20200715,4718
20200716,4723
20200719,4720
20200720,4724
20200722,4731
20200727,4743
20200728,4742
20200729,4748
20200730,4753
20200802,4776
20200803,4781
20200805,4785
20200810,4809
20200811,4746
20200812,4740
20200813,4742
20200816,4755
20200817,4760
20200819,4743
20200824,4755
20200825,4794
20200826,4788
20200827,4794
20200830,4808
20200831,4815
20200902,4818
20200907,4834
20200908,4804
20200909,4820
20200910,4838
20200913,4839
20200914,4815
20200916,4823
20200921,4830
20200922,4771
20200923,4765
20200924,4807
20200927,4819
20200928,4801
20200930,4796
20201005,4813
20201006,4783
20201007,4755
20201008,4758
20201011,4757
20201012,4770
20201014,4810
20201019,4855
20201020,4854
20201021,4860
20201022,4853
20201025,4848
20201026,4848
20201102,4800
20201103,4772
20201104,4800
20201105,4781
20201108,4804
20201109,4844
20201117,4983
20201118,4980
20201119,5003
20201122,5046
20201123,5062
20201201,5178
20201202,5180
20201203,5180
20201206,5188
20201207,5213
20201215,5248
20201216,5243
20201220,5243
20201221,5256
20201229,5355
20201230,5405
20210103,5502
20210104,5510
20210112,5606
20210113,5615
20210117,5637
20210126,5755
20210127,5771
20210131,5805
20210209,6036
20210210,6040
20210214,6061
20210223,6417
20210224,6427
20210228,6538
20210309,6504
20210310,6512
20210314,6521
20210323,6890
20210324,6928
20210328,7190
20210406,7419
20210407,7419
20210411,7495
20210420,7529
20210421,7541
20210425,7592
20210504,7793
20210505,7815
20210509,7885
20210518,7970
20210519,7968
20210523,7977
20210601,8158
20210602,8167
20210606,8251
20210615,8467
20210616,8480
20210620,8573
20210629,8741
20210630,8783
20210704,8869
20210713,9069
20210714,9088
20210718,9271
20210727,9412
20210728,9546
20210801,9670
20210810,9949
20210811,9973
20210815,10143
20210824,10501
20210825,10537
20210829,10761
20210907,10986
20210908,10949
20210912,11253
20210921,11488
20210926,11136
20211010,11089
20220222,14487
20220227,15123
20220308,15194
20220313,15208
20220322,15340
20220327,15334
20220405,15283
20220410,14819
20220419,14845
20220424,14918
20220503,12114
20220508,11906
20220517,11901
20220522,11940
20220531,11982
20220605,11945
20230604,12044
20230618,12231
20230702,10262
20230716,12224
