date,nodes,edges,fname,keep
2019-01-20,2488,22039,20190120.gml.gz,True
2019-01-21,2703,36441,20190121.gml.gz,True
2019-01-23,2699,36251,20190123.gml.gz,True
2019-01-28,2679,35268,20190128.gml.gz,True
2019-01-29,2678,34777,20190129.gml.gz,True
2019-01-30,2673,34082,20190130.gml.gz,True
2019-01-31,2658,33148,20190131.gml.gz,True
2019-02-03,2330,19743,20190203.gml.gz,True
2019-02-20,2794,28399,20190220.gml.gz,True
2019-02-25,3174,45187,20190225.gml.gz,True
2019-02-26,3225,46007,20190226.gml.gz,True
2019-02-27,3275,47375,20190227.gml.gz,True
2019-02-28,3311,48103,20190228.gml.gz,True
2019-03-03,3465,51441,20190303.gml.gz,True
2019-03-04,3505,52169,20190304.gml.gz,True
2019-03-06,3629,53942,20190306.gml.gz,True
2019-03-11,3573,50338,20190311.gml.gz,True
2019-03-12,3556,49785,20190312.gml.gz,True
2019-03-13,3534,48522,20190313.gml.gz,True
2019-03-14,3524,47546,20190314.gml.gz,True
2019-03-17,3477,44527,20190317.gml.gz,True
2019-03-18,3465,43819,20190318.gml.gz,True
2019-03-20,2487,10731,20190320.gml.gz,True
2019-04-14,2667,17500,20190414.gml.gz,True
2019-04-15,2668,17531,20190415.gml.gz,True
2019-04-17,2692,17572,20190417.gml.gz,True
2019-04-22,2885,18892,20190422.gml.gz,True
2019-04-23,2906,19315,20190423.gml.gz,True
2019-04-24,2956,19745,20190424.gml.gz,True
2019-04-25,3016,20325,20190425.gml.gz,True
2019-04-28,4228,61963,20190428.gml.gz,True
2019-04-29,4229,61794,20190429.gml.gz,True
2019-05-01,4238,61559,20190501.gml.gz,True
2019-05-06,4195,59100,20190506.gml.gz,True
2019-05-07,4191,58283,20190507.gml.gz,True
2019-05-08,4181,57509,20190508.gml.gz,True
2019-05-09,4170,56566,20190509.gml.gz,True
2019-06-17,4406,56100,20190617.gml.gz,True
2019-06-18,4402,55967,20190618.gml.gz,True
2019-06-19,4403,55798,20190619.gml.gz,True
2019-06-20,4446,56299,20190620.gml.gz,True
2019-06-23,4436,54939,20190623.gml.gz,True
2019-06-24,4427,54336,20190624.gml.gz,True
2019-06-26,4392,52739,20190626.gml.gz,True
2019-07-15,4444,52740,20190715.gml.gz,True
2019-07-16,4464,52954,20190716.gml.gz,True
2019-07-17,4474,53382,20190717.gml.gz,True
2019-07-18,4488,53560,20190718.gml.gz,True
2019-07-21,4493,54378,20190721.gml.gz,True
2019-07-22,4502,54617,20190722.gml.gz,True
2019-07-24,4517,54838,20190724.gml.gz,True
2019-07-29,4562,55301,20190729.gml.gz,True
2019-07-30,4560,54946,20190730.gml.gz,True
