date,nodes,edges,fname
2019-01-20,1137,3240,20190120.gml.gz.fix
2019-01-21,1222,3760,20190121.gml.gz.fix
2019-01-23,1204,3686,20190123.gml.gz.fix
2019-01-28,1148,3353,20190128.gml.gz.fix
2019-01-29,1139,3205,20190129.gml.gz.fix
2019-01-30,1076,2793,20190130.gml.gz.fix
2019-02-20,2588,12684,20190220.gml.gz.fix
2019-02-25,3014,18836,20190225.gml.gz.fix
2019-02-26,3071,19292,20190226.gml.gz.fix
2019-02-27,3127,20154,20190227.gml.gz.fix
2019-02-28,3165,21279,20190228.gml.gz.fix
2019-03-03,3333,23596,20190303.gml.gz.fix
2019-03-04,3374,24137,20190304.gml.gz.fix
2019-03-06,3520,25445,20190306.gml.gz.fix
2019-03-11,3461,24264,20190311.gml.gz.fix
2019-03-12,3441,24050,20190312.gml.gz.fix
2019-03-13,3423,23651,20190313.gml.gz.fix
2019-03-14,3416,23283,20190314.gml.gz.fix
2019-03-17,3360,22177,20190317.gml.gz.fix
2019-03-18,3344,21968,20190318.gml.gz.fix
2019-04-28,4136,33168,20190428.gml.gz.fix
2019-04-29,4137,33157,20190429.gml.gz.fix
2019-05-01,4143,33195,20190501.gml.gz.fix
2019-05-06,4095,32734,20190506.gml.gz.fix
2019-05-07,4090,32604,20190507.gml.gz.fix
2019-05-08,4082,32448,20190508.gml.gz.fix
2019-05-09,4070,32231,20190509.gml.gz.fix
2019-06-17,4305,30663,20190617.gml.gz.fix
2019-06-18,4301,30650,20190618.gml.gz.fix
2019-06-19,4302,30633,20190619.gml.gz.fix
2019-06-20,4346,30990,20190620.gml.gz.fix
2019-06-23,4333,30774,20190623.gml.gz.fix
2019-06-24,4323,30695,20190624.gml.gz.fix
2019-06-26,4290,30409,20190626.gml.gz.fix
2019-07-15,4359,29087,20190715.gml.gz.fix
2019-07-16,4380,29199,20190716.gml.gz.fix
2019-07-17,4390,29421,20190717.gml.gz.fix
2019-07-18,4405,29524,20190718.gml.gz.fix
2019-07-21,4412,29974,20190721.gml.gz.fix
2019-07-22,4421,30107,20190722.gml.gz.fix
2019-07-24,4436,30290,20190724.gml.gz.fix
2019-07-29,4475,30667,20190729.gml.gz.fix
2019-07-30,4473,30367,20190730.gml.gz.fix
2019-07-31,4469,30050,20190731.gml.gz.fix
2019-08-01,4469,30157,20190801.gml.gz.fix
2019-08-04,4610,30049,20190804.gml.gz.fix
2019-08-05,4622,30034,20190805.gml.gz.fix
2019-08-07,4637,29816,20190807.gml.gz.fix
2019-08-12,4659,29680,20190812.gml.gz.fix
2019-08-13,4676,29721,20190813.gml.gz.fix
2019-08-14,4664,29577,20190814.gml.gz.fix
2019-08-15,4652,28262,20190815.gml.gz.fix
2019-08-18,4629,28318,20190818.gml.gz.fix
2019-08-19,4626,28315,20190819.gml.gz.fix
2019-08-21,4609,28080,20190821.gml.gz.fix
2019-08-26,4640,28338,20190826.gml.gz.fix
2019-08-27,4657,28561,20190827.gml.gz.fix
2019-08-28,4666,28603,20190828.gml.gz.fix
2019-08-29,4670,28612,20190829.gml.gz.fix
2019-09-01,4655,28445,20190901.gml.gz.fix
