timestamp,shortest_path_length
20190120,3.0315
20190121,2.9656
20190123,2.9545
20190128,2.9182
20190129,2.9035
20190130,2.8864
20190220,2.8247
20190225,2.7652
20190226,2.7696
20190227,2.7528
20190228,2.7445
20190303,2.7715
20190304,2.7725
20190306,2.7611
20190311,2.778
20190312,2.766
20190313,2.7833
20190314,2.7976
20190317,2.796
20190318,2.8005
20190428,2.7307
20190429,2.7276
20190501,2.7386
20190506,2.7286
20190507,2.7347
20190508,2.7239
20190509,2.7268
20190617,2.7752
20190618,2.7728
20190619,2.7733
20190620,2.7835
20190623,2.784
20190624,2.7801
20190626,2.7688
20190715,2.8345
20190716,2.8283
20190717,2.8375
20190718,2.8388
20190721,2.8358
20190722,2.8461
20190724,2.8428
20190729,2.833
20190730,2.835
20190731,2.8472
20190801,2.8471
20190804,2.9471
20190805,2.9492
20190807,2.9346
20190812,2.9422
20190813,2.9471
20190814,2.9533
20190815,2.9656
20190818,2.9554
20190819,2.9532
20190821,2.9523
20190826,2.9583
20190827,2.9439
20190828,2.9541
20190829,2.9527
20190901,2.9486
20190902,2.9495
20190904,2.9453
20190909,2.9406
20190910,2.9463
20190911,2.9409
20190912,2.9449
20190915,2.9353
20190916,2.9482
20190918,2.9415
20190923,2.9494
20190924,2.9547
20190925,2.9517
20190926,2.9379
20190929,2.9474
20190930,2.9345
20191002,2.9394
20191007,2.9428
20191008,2.9466
20191009,2.9454
20191010,2.9479
20191013,2.8915
20191014,2.8996
20191016,2.8966
20191021,2.908
20191022,2.9075
20191023,2.9087
20191024,2.9054
20191027,2.9051
20191028,2.9065
20191030,2.9216
20191104,2.9018
20191105,2.9079
20191106,2.9131
20191107,2.9056
20191110,2.914
20191111,2.9128
20191113,2.9097
20191118,2.9595
20200127,3.0354
20200128,3.0374
20200129,3.0319
20200130,3.0305
20200202,2.9768
20200203,2.9598
20200205,2.9636
20200210,2.9706
20200211,2.9676
20200212,2.9565
20200213,2.9679
20200216,2.9676
20200217,2.9596
20200219,2.9656
20200224,2.9615
20200225,2.9549
20200226,2.9551
20200227,2.9568
20200301,2.9717
20200302,2.961
20200304,2.9722
20200309,2.985
20200310,2.9777
20200311,2.9944
20200312,2.9856
20200315,2.9651
20200316,2.9669
20200318,2.9816
20200323,3.0236
20200324,3.0096
20200325,3.0153
20200326,3.0141
20200329,3.0156
20200330,3.0056
20200401,3.0153
20200406,3.0148
20200407,3.0229
20200408,3.0146
20200409,3.0041
20200412,3.0129
20200413,3.0003
20200415,3.0018
20200420,3.0198
20200421,3.0242
20200422,3.0358
20200423,3.0309
20200426,3.0586
20200427,3.0506
20200429,3.053
20200504,3.0702
20200505,3.0784
20200506,3.0668
20200507,3.0821
20200510,3.079
20200511,3.0708
20200513,3.0942
20200518,3.0998
20200519,3.0876
20200520,3.0953
20200521,3.0911
20200524,3.1069
20200525,3.1227
20200527,3.116
20200601,3.1219
20200602,3.1224
20200603,3.1229
20200604,3.1845
20200610,3.1045
20200615,3.1083
20200616,3.0995
20200617,3.0968
